login,post,posts_time,posts_dt,ticker
IDEITOP,"Что подтверждают эти движения?

1. Никто из членов ФРС не ожидает/не считает необходимым понижение ставки в 2023 году. Уместно дальнейшее повышение ставки.
2.  Amazon $AMZN  уволит 18 000 сотрудников (6% от всего персонала).
Рецессия базовый сценарий?

Что $AAPL? идет к своей 200 EMA?
Должен пpитянуться к этому магниту . Ещё до 200 SMA -8% падения?

А что на этой неделе произошло с $MSFT кто, что отметит ?

🔑Проверяем идеи вместе - уникальный проект в Пульсе, получай БЕСПЛАТНО больше идей, обзоров и мнений раньше других:
https://www.tinkoff.ru/invest/social/profile/IDEITOP?utm_source=share",19:28,2023-01-08,AAPL
Dengy_ne_problema,"🇨🇳 BARCLAYS ПОВЫСИЛ ПРОГНОЗ ВВП КИТАЯ НА 2023 ГОД ДО 4,8% С 3,8%

Многие ставят на Китай 

Я думаю после коррекции в Китае можно набирать долгосрочные позиции 

🤑🇺🇸 Крупнейшие холдинги розничных инвесторов в 2022 году:

👉 SPDR S&P500 ETF Trust $SPY 

👉 Invesco QQQ Trust $QQQ

👉 Tesla $TSLA 

👉 Apple $AAPL

👉 AMD $AMD

👉 ProShares UltraPro Short QQQ $SQQQ 

👉 Nvidia $NVDA 

👉 ProShares UltraPro $TQQQ

👉 Amazon $AMZN

👉 Microsoft $MSFT",10:25,2023-01-06,AAPL
LouisG,"$AAPL есть куда валиться, много заемных денег тут в рынке!!!!!!!!!!!!!",9:01,2023-01-06,AAPL
DayTradingLive,"$AAPL ✅ ТА. Интрадей. Apple

Не советуем рассматривать лонг от поддержки, базовый сценарий указан стрелками, только пробой уровня. Не ИИР. Все внимание на индексы перед ОС

⚠️Стоп заявка обязательна!!!",7:53,2023-01-06,AAPL
FinCultura,"Прогноз по S&P500

Американский индекс на 500 крупнейших компаний США закрывается над поддержкой (обозначил на скрине), с поджатием. Позитивного пока здесь ничего не вижу! 👇

Фундаментал не располагает к покупкам, технически вырисовывается классический медвежий флаг под продолжение нисходящего тренда, такое разворачивают крайне редко.

Всех сильнее падают тяжеловесы:
Google $GOOGL $GOOG если пробивает поддержку, идет на 80$

Apple $AAPL жду сначала на 120$, глобально 100$ справедливая +- цена

$MSFT на недельном таймфрейме на ЕМА 200. Сильнейшая поддержка! Если пробивает, то корректируется до 200$. 

$TSLA оповещения стоят на 100$. Важный уровень. Попробую тут зайти со стопом. 

$AMZN очень сильно перепродан. Есть все шансы на отскок. Но с общим рынком могут «за компанию» увезти еще ниже. Поддержки 80 и 70, но пока без отскока в такое мало верится. Тоже Тут буду скорее всего покупать.",0:11,2023-01-06,AAPL
Andreus_007,$AAPL завтра 120,23:52,2023-01-05,AAPL
Andreus_007,"$AAPL ну понятно, а я то думаю чё все полилось.
А это огрызок завонял.",23:26,2023-01-05,AAPL
scandym,"$AAPL перекличка, кто тут следит сидит  ?",23:26,2023-01-05,AAPL
TAtrader,"Всем привет!

Все данные будут на момент написания поста.
Сегодня индекс SP500 упал на 0,5%, а с учетом пре маркета падение было на 0,85%.

Индекс нарисовал относительно неплохую свечу, а именно фитиль снизу длинной примерно в 0,4% и тело сверху длинной в 0,5%. Индекс интересно откупают от некоторого уровня покупки. Например недавно акции $AMD рисовали такой же уровень покупки и после этого акция сильно взлетела вверх. 

Индекс не пускают ниже 3800, поэтому если в ближайшее время будет рост до 3900 и закрепление на уровне, то далее с огромной вероятностью будет рост. 
Тоже самое и на продажу, если уровень 3800 не удержат и SP500 закроется ниже уровня 3700, то с огромной вероятностью далее будет падение.

Сейчас индекс находится в зоне нулевого КПД, поэтому сейчас нету смысла торговать, так как вы будете только мотать себе нервы.  

$AAPL все также тянутся к $120, куда скорее всего и придут.

$TSLA идет к $100, но пытается показать свою силу.

$BABA явно заряженная бумага, которая сильнейшим образом летит вверх. Безумно сильный Китай. Не понимаю, зачем люди шортят такой сильный Китай. Любая китайская акция будь то $JD, $BIDU, летит очень сильно.

Всем удачи!
*на графике дневные свечи",22:37,2023-01-05,AAPL
NEWS_ROCKET,"#ЧТО_ДУМАЮТ_АНАЛИТИКИ
$AMZN
Morgan Stanley
Brian Nowak ⭐⭐⭐⭐
Action - reiterated (buy)
Price target - 140
Date - 2023-01-05

$ZBH
Piper Sandler
Matthew O'Brien ⭐⭐⭐⭐
Action - reiterated (hold)
Price target - 130
Date - 2023-01-05

$AAPL
UBS
David Vogt ⭐⭐⭐
Action - reiterated (buy)
Price target - 180
Date - 2023-01-05

$CRM
Mizuho Securities
Gregg Moskowitz ⭐⭐⭐⭐⭐
Action - reiterated (buy)
Price target - 200
Date - 2023-01-05

$AMZN
JMP Securities
Nicholas Jones CFA ⭐⭐⭐⭐
Action - reiterated (buy)
Price target - 140
Date - 2023-01-05

Будь вкурсе - #NEWS_ROCKET
Пост создан автоматически.",22:31,2023-01-05,AAPL
