login,post,posts_time,posts_dt,ticker
SirAgif,$AMD да что ж ты творишь!😁,23:18,2023-01-06,AMD
SirAgif,"Закупил себе $NVDA  по 145 перед Новым годом.Сочнейшие цены🔥
Жду ближайшие 1-2 месяца похода на 180🚀
Если хотите взять из этой же отрасли,то подбирайте $AMD ,они плюс минус одинаково ходят.По 60 смело бы брал с расчетом на 75
Всем профит😎🫰🏼",13:53,2023-01-04,AMD
dolgopup,"⬆️Не очень вовремя, но решила подвести хоть какие-то итоги…2022 инвестиционный год выдался не очень удачным, в отличии, кстати, от 2021 когда получилось заработать на ковид.
   
   В конце 2021 мною были приобретены акции $NFLX $AMD $VKCO и $POLY но к январю они начали падать, мне не привыкать, я легко переношу просадки…

   24 февраля, я проснулась в замечательном настроении, на берегу Карибского моря в г. Канкун Мексика и мой муж ошарашил меня новостью, не буду цитировать, боюсь что заблокируют, но я думаю вы понимаете что это была за новость. Вместо того что б зайти в новостную ленту, я полезла в приложение брокера (не Тинькофф), но оно работает очень криво и в неторговое время не отображается полная картина, но я уже понимала что запахло жареным.

   Весь февраль торги закрыты, март если не ошибаюсь тоже, в апреле пришло уведомление, что иностранные активы будут переданы другому брокеру.

Подведем итоги: - 30% от стоимости, + 50% всего портфеля в блоке до сих пор (если быть точнее то наверное 40, но полик, который упал на 2/3 от стоимости, не вызывает желания его продавать)
   Из плюсов, хоть и условных: Получила дивиденды от $GAZP которые меня безусловно порадовали, но с учетом что средняя у меня 174, радость была кратковременной) 

   Желаю в 2023 всем профита🚀 

А я надеюсь, что в этом году акции будут разморожены, и вырастут в цене☺️ А так же, напоминаю, что участвую в челлендже #инвесткопи2023 в котором планирую накопить 137 800 за 52 недели. Конкретной цели на эти деньги нет, но я думаю найду им применение😂
#итоги2022 #ненадотак #мой2022",2:21,2023-01-04,AMD
Dengy_ne_problema,"⚠️🇺🇸 $AAPL: попросила нескольких поставщиков производить меньше компонентов для AirPods, Apple Watch и MacBook в 1 квартале 2023 года на фоне ослабления спроса - Nikkei

Как же это очевидно. 
Локомотив должен упасть, чтобы рынки и сами индексы могли уйти ниже. 
Так как им нужно сходить ниже, чтобы начать расти. 

$NVDA думаю тоже услышим, что идет снижение производства и падение спроса на продукцию. Тоже самое с $AMD так как глобальные тенденции у них схожи. Есть только разница в эффективности и способности переносить трудности + диверсификация. 

Пока $TSLA не сходит к 70-80 я предполагаю, что полноценного разворота мы можем не увидеть. 
То есть базово я бы не ставил на 70-80, так как причины будут внешние, а не внутренние (если только Макс не уйдёт в политику). Но это будет ценник по которому вряд ли будут продавать крупные игроки, скорее только покупать. 

Интересно то, что очень мало негатива в отношении $MSFT который очень хорошо себя показывает по отношению к рынку. Предвестником падения рынков будет негатив у этой компании. Топовая цена для покупок 150+- долгосрочно. 

По поводу $COIN имеется неопределённость. Чтобы пойти в отскок по хорошему надо пробить 30 в район 28 сходить и от туда до 45+-. Пока трудно прям взять и расти начать, впереди сильное сопротивление. Только с рынком если. Выше 36 закреп увеличит шансы 

$AMZN вероятно, что в этом году увидим по 68 и это будет отличной долгосрочной ценой, так как компания на самом деле топовая и все трудности вызваны макро факторами. 

$GOOGL я конечно не очень верю в это, но если сам рынок глобально продолжит снижаться, то мы можем увидеть цену в 60+- и это будет также долгосрочной возможностью. 

$BABA неожиданно, что от 60 последовал разворот тренда. То есть на данный момент далеко неочевидно, что мы увидим ниже 60-50. Для этого нужны внешние причины. Если Америка к 3300-3500 сходит по сп500 то может и увидим 50. Это также будет возможностью. 

$PYPL надо наблюдать. Цена низкая, но макро риски остаются.
Все что ниже 60 это низкая цена и выгодно долгосрочно. 


#прогноз
#аналитика
#прояви_себя__в_пульсе
#акции
#новости
#америка


Лайк подписка обязательно ☝️☝️☝️",11:10,2023-01-02,AMD
FA_Options,"Друзья, всем предновогодней пятницы.🥳

Ура, можно выдыхать, подсчитывать прибыль и начинать готовиться к празднованию Нового года 2023.

Сегодня нам в основной портфель исполнили оба опциона по $TSLA, и мы получили 300 акций. После высчитывания всех премий, средняя цена БУ получилась примерно 136.5.
Чтож, неприятно, но мы все равно выведем эту позицию в плюс.

Как уже сообщали вчера, мы закрыли руками нашу публичную позицию по $BAC. Но вы можете ее держать сегодня для получения 100% прибыли.
Позицию по $AMD так же оставляем, опцион закроется сам, оставив нам 100% прибыли.

Старушку $MRNA мы роллируем на следующую пятницу.",21:00,2022-12-30,AMD
Hard_Trade,"Господа, всех приветствую 💸

📆 В понедельник 2 января Мосбиржа $MOEX не работает. Торги начнутся 3 января

🏦 С 1 января 2023 г брокеры должны будут приостанавливать исполнение любого поручения неквалифицированного инвестора по увеличению позиции по ценным бумагам иностранных эмитентов из недружественных стран

🇺🇸 Байден утвердил бюджет США на 2023 финансовый год объемом около 1,7$ трлн. Он предусматривает выделение 44,9$ млрд на помощь Украине

▶️ Россияне впервые заплатят налог на доходы со вкладов по результатам 2023 г. Налогом со вкладов в 2023-м будут облагаться процентные доходы от 75 тыс руб за весь год — если ключевая ставка не превысит текущих 7,5%

▶️ ЦБ разрешил банкам недружественных стран переводить за рубеж средства в рублях с корреспондентских счетов в банках РФ

▶️ UnionPay ввела ограничения для россиян на снятие наличных за пределами РФ: не более 50 тыс юаней в день и 500 тыс юаней в год

▶️ VK $VKCO , «Яндекс» $YNDX , Сбербанк $SBER и «Ростелеком» намерены учредить компанию, которая займется разработкой новой мобильной операционной системы (ОС). Ее создадут на базе Android и платформы, способной заменить Google Mobile Services (GMS)

▶️ Pfizer $PFE объявил о положительных результатах 3-й фазы исследования кандидата на генную терапию гемофилии В

▶️ Baidu $BIDU получила первую лицензию на испытания беспилотных автомобилей на дорогах в Пекине и добавит еще 200 роботакси в свою сеть по всему Китаю в следующем году

▶️ AMD $AMD заявила о создании логистического центра на Тайване

▶️ Mercedes отключит поддержку сервисных программ в России

🛢 Brent торговалась на уровне $83,82 за баррель

Фьючерсы США

🔴 S&P500 -0,41%
🔴 Nasdaq -0,50%

Китай
🟢 China A50 +0,17%
🔴 Hang Seng -0,77%

🔴 Биткоин -0,10%",9:56,2022-12-30,AMD
BigDaddy205,"​​Доброе утро!
Рубрика #зачашкойкофе

🔴 Умер Пеле. Величайший футболист современности. 

🟢 В электронном письме, разосланном сотрудникам в среду и рассмотренном Reuters, Маск сказал, что, по его мнению, в долгосрочной перспективе Tesla $TSLA будет самой ценной компанией на земле.

🟠 Индонезия начнет обязательное смешивание 35% биодизельного топлива с пальмовым маслом с 1 февраля 2023 года 

🟢 Глава Минфина РФ Антон Силуанов не исключает возможности расчетов в $BTC криптовалюте с торговыми партнерами из других стран, однако этот процесс должен быть комфортным для всех сторон

🔴 Инфляция в России по итогам 2022 года составит около 12% 

🟢 $BABA Alibaba Group Holding может «продвинуться вперед» в 2023 году, заявил в четверг своим сотрудникам председатель и главный исполнительный директор Даниэль Чжан, предположив, что китайская компания надеется уйти от периода беспорядков, вызванных репрессиями Пекина в технологическом секторе.

🔴 Китайская платежная система UnionPay ввела ограничения по эмитированным российскими банками картам на снятие наличных вне пределов России в размере не более 50 тысяч юаней (507,3 тысячи рублей, по курсу ЦБ на четверг, 29 декабря) в день и 500 тысяч юаней (5,1 млн рублей) в год

🟢 $AMD заявила о создании логистического центра на Тайване

🟠 Италия обратилась в Евросоюз с просьбой ввести на уровне ЕС тестирование на COVID для приезжающих из Китая.

🟢 $PFE Pfizer объявляет о положительных результатах 3-й фазы исследования кандидата на генную терапию гемофилии В

🔴 Мировые акции потеряли более 20% своей стоимости в 2022 году, или почти $20 трлн. 

🔴 Путин запретил банкам и госпредприятиям пользоваться иностранными мессенджерами при предоставлении госуслуг с 1 марта. 

🔴 Указом президента РФ на период проведения специальной военной операции освобождены от декларирования доходов и расходов военные, которые участвуют в боевых действиях и командированные в новые регионы чиновники. Также отменяется правило на публикацию в интернете и СМИ деклараций чиновников о доходах и расходах.

🔴 Mercedes отключит поддержку сервисных программ в России

😱 Биткоин 16 589,70$
💵 Доллар - 71,9778₽ 
💶 Евро - 76,0765₽
🛢 Нефть – 83,83$

🟢 VIX -0,04%
🔴 S&P 500 -0,15%
🔴 Nasdaq 100 -0,16%

❗️Сегодня отчётов нет",9:50,2022-12-30,AMD
SmitsonitDK,"Новости четверга (29.12):

•ExxonMobil $XOM  оспорила решение ЕС о налоге на сверхприбыль нефтекомпаний;

•Минобрнауки РФ рекомендует вузам включить курс по основам военной подготовки в образовательные программы с 1 сентября 2023 года;

•Министр иностранных дел Венгрии: Венгрия стала лидером в Европе по производству батарей для электромобилей;

•Tele2 просит российский суд принять обеспечительные меры к Ericsson и ""Сател ТВК"" по делу о поставках оборудования;

•Майкл Сэйлор сообщил, что в 2023 году Microstrategy $MSTR  начнет предлагать решения на основе Bitcoin Lightning Network;

•Разработчик системы «МойОфис» к концу наступающего года создаст аналог почтовой корпоративной системы Microsoft Outlook;

•TSMC $TSM  начинает массовое производство самых передовых чипов на Тайване;

•Акции GE HealthCare Technologies будут включены в фондовый индекс S&P 500;

•Цены на электроэнергию в России выросли до исторического максимума и составили 1800 рублей за МВт;

•Российское правительство продлило действие программы льготной ипотеки до 1 июня 2024 года;

•Силуанов: Инфляция в России по итогам 2022 года составит около 12%;

•Белорусские ноутбуки, массовое производство которых недавно запустили на минском заводе ""Горизонт"", будут экспортироваться в Россию;

•Нацимбио и ИСКЧ $ISKJ  договорились о дальнейших испытаниях единой вакцины от коронавируса и гриппа;

•UnionPay ввела лимит на снятие наличных с карт российских банков за рубежом;

•В РФ до конца года сертифицируют первый беспилотный вертолёт;

•Segezha Group $SGZH  получила на CLT-панели сертификат Республики Казахстан - это облегчит реализацию масштабных проектов при участии государственных органов и крупных частных инвесторов;

•AMD $AMD создаст логистический центр на Тайване, перенесет склады из Гонконга в Тайвань;

•Ростелеком $RTKM  , Ростех и Yadro подписали с правительством соглашения о развитии технологий мобильной связи;

•НРД временно отменил комиссию за перевод бумаг, заблокированных в Clearstream, в торговый раздел счета;

•Президент Сербии Александр Вучич отменил состояние повышенной боеготовности вооружённых сил страны;

•Путин подписал указ, предусматривающий командированным в новые регионы гражданским лицам при их ранении выплаты в размере 3 миллионов рублей. А вслучае гибели гражданских лиц во время командировки их семьям выплатят 5 миллионов рублей;

•Норникель $GMKN  сохраняет планы по модернизации производства, запуску Серного проекта, программе мотивации;

• Правительство распорядилось внести акции РНКБ в уставный капитал ВТБ $VTBR ;

•Польша хочет прекратить закупки российской нефти в рамках следующего пакета санкций ЕС;

•ВТБ выдал первую промышленную ипотеку. 

🛑 Сегодня пришли дивиденды по акциям Nasdaq $NDAQ . Кому что пришло? 

Подписывайтесь на канал, чтобы следить за актуальными новостями в мире. Обнял 🤗

#новости #прояви_себя_в_пульсе",19:06,2022-12-29,AMD
unicornstyle,"$AMD Я не знаю как разумные люди торгуют на $SPBE 

Этой свечи на америке нет. Обычно видел свечи такие на пре/пост, но чтоб на ОС - бред. Т.е кто-то спилил стопы чьи-то. Красавчики, что тут сказать.

(ПС время у меня на час больше)",17:59,2022-12-29,AMD
DARHAN,"🇺🇸ИНТЕРЕСНОЕ ЧЕРЕЗ ПРИЗМУ на 29.12.2022г 

Всё самое важное и актуальное из мира иностранных ценных бумаг:

1. 🇺🇸🇪🇺 Американская ExxonMobil ( $XOM) подала в суд на Евросоюз из-за введения налога на сверхприбыль нефтяных компаний.

2. 🇺🇸 Несмотря на дальнейшее падение акций, физики продолжают покупать акции Tesla ( $TSLA). В этом месяце продолжают наблюдаться сильные покупки каждый день.

3. 🇨🇳 1 января 2023 года Китай запустит свой первый регулируемый NFT-маркетплейс.

4. 🇭🇺🇪🇺 Венгрия стала лидером в Европе по производству батарей для электромобилей — министр иностранных дел  Венгрии.

5. 🇩🇪🇺🇸 Немецкая энергокомпания RWE заключила контракт с американской Sempra Infrastructure о поставке 2,25 млн тонн СПГ ежегодно.

6. 🇨🇳 Китай открыл импорт на иностранные видеоигры. Tencent ( $TCEHY) начал получать лицензии. Эти шаги знаменуют собой конец репрессивных мер Пекина в отношении индустрии видеоигр.

7. 🇺🇸 Майкл Сэйлор сообщил, что в 2023 году Microstrategy ( $MSTR) начнет предлагать решения на основе Bitcoin Lightning Network.

8. 🇺🇸 CEO Goldman ( $GS) сказал, что банк начнет увольнять в январе.

9. 🇹🇼 TSMC ( $TSM) начинает массовое производство самых передовых чипов на Тайване.

10. 🇺🇸 S&P понизило рейтинг AMC ( $AMC) Entertainment до СС.

11. 🇺🇸 Многие инвестдома понижают прогнозы по поставкам и производству новых iPhone ( $AAPL) в 1 полугодии 2023 года.

12. 🇺🇸 Акции GE HealthCare Technologies ( $GEHCV) будут включены в фондовый индекс S&P 500.

13. 🇧🇾🇷🇺 Белорусские ноутбуки, массовое производство которых недавно запустили на минском заводе ""Горизонт"", будут экспортироваться в Россию.

14. 🇺🇸 Маск призвал сотрудников Tesla ( $TSLA) не беспокоиться о падении стоимости акций компании.

15. 🇨🇳🇷🇺 Union Pay ввела лимит на снятие наличных со своих карт, выпущенных российскими банками, за рубежом - 507 000₽ в день, либо 5₽ млн в год.

16. 🇺🇸🇹🇼 AMD ( $AMD) создаст логистический центр на Тайване, перенесет склады из Гонконга в Тайвань.

17. 🇺🇸 Генная терапия гемофилии от Pfizer ( $PFE) прошла успешное исследование на последней стадии.

18. 🇩🇪🇨🇷 BMW ( $BMW@DE) планирует интегрировать технологию блокчейн в свою повседневную деятельность и создать программу лояльности на блокчейне для своих клиентов в Таиланде.

19. 🇺🇸 Продажи домов в США упали до рекордно низкого уровня.

______________________________________________
🥸❗Подписывайтесь на канал. Будьте в курсе всей новостной повестки дня. 
#новости",17:26,2022-12-29,AMD
