login,post,posts_time,posts_dt,ticker
Delonge1,$CHMF На 900 едем?,21:02,2023-01-11,CHMF
Alexxx1983,$CHMF щортисты я вам говорил вчера а вы не слушали,11:24,2023-01-11,CHMF
AlenkaK3,$CHMF куда идём?,10:41,2023-01-11,CHMF
EmInence,"$CHMF на мелких таймфреймах перепродана, но на больших турбина еще не остыла. Пахан еще может новостей про дибилизацию подкинуть. Не все так однозначно - получается.",6:52,2023-01-11,CHMF
RAND2005,"$CHMF 

Информация об открытых позициях по производным финансовым инструментам, базовым активом которых является Обыкновенные именные бездокументарные акции ПАО «Северсталь»(ISIN RU0009046510)

<  Данные на 10 января 2023  >",1:46,2023-01-11,CHMF
Upiter_U,"$CHMF жесть 
Не видел ещё акции с x5 плечом на шорт -видимо набирают шортистов чтобы вынести 
Такие свечи могут пустить ,что стопы спокойно снять смогут 
Есть те ,кто сейчас в шортах ?",23:16,2023-01-10,CHMF
Delonge1,$CHMF Чего ей не хватает для роста то?)),22:38,2023-01-10,CHMF
Invest_doxod,"🤑 Итоги дня: 

🔸 Сегодняшний торговый день прошёл как и все последние предыдущие. Основной рынок стоял, 3-й эшелон летал. Акции $LIFE  сегодня обогнали $SBER  по объему торгов😳❗️ Хотя если честно, оно уже не удивительно. Всех задолбала скукота на индексе Мосбиржы, вот и никто там не торгует. Мы, как и обещали, активно сегодня участвовали в пампах и ловили волны роста, про это отдельный пост, ведь слишком много информации) 
 Внизу мнение о рынке, ведь толком про 1-й эшелон нечего писать. 

 $POLY: ➕8,15%✅, $PLZL: ➕0,5%✅
 Полиметалл зафиксировали спустя месяц, позиция полностью закрыта. Уж очень не нравится то, что стоит на месте и деньги таким образом заморожены как будто. Полюс тоже самое, только с ним внутридневные сделки проводим. Обе акции не пройдут свои сопротивления уже месяц🙄 - 385 и 8000. 

$ROSN: ➕5,65%✅, $LKOH: ➕0,4%
Роснефть убрали из портфеля перед дивидендным гэпом. Завтра наверно постараемся поймать момент просадки для выкупа, но могут и сразу на 2% обратно вернуть. Лукойл движется в свободном плавании. Ни поддержку, ни сопротивление пробить нет сил. Объёмы крохотные, чему удивляться. Такая спячка видимо до конца января обеспечена. 

$RUAL: ➕0,75%✅, $MAGN: ➕0,6%, $CHMF: ➕1%✅ 
 Даже металлурги не двигаются. Северсталь и Ммк шортили, потом вставали в лонг, всё на копеечные суммы. Доллар заглох, заглохли и мы. Русал так и будет колебаться в коридоре 40-41 ещё долго, нужны сильные драйверы для какого-то движения. Коррекция может начаться в любой момент. 

$AFLT: ➕0,7%✅, $MGNT: ➕0,2%✅ 
 Пытались тут ловить скачки. Необоснованный рост идёт тех бумаг, которые ранее падали в любой непонятной ситуации. Выглядят лучше рынка, поэтому шортить опасно. Бумаги перекуплены, коррекция скоро будет, 

Одним словом - тишина. 

⚡️ За сегодня ➕6% к депо сделали. Самое интересное было в 3-м эшелоне😋

☑️ ПОДПИШИСЬ, ПОЛЕЗНАЯ ИНФОРМАЦИЯ ДЛЯ ТЕБЯ ☑️ 

не иир",22:03,2023-01-10,CHMF
DavblD,$CHMF в этом году будет отбивать бабло...сто пудов в долгосрок только в рост,22:00,2023-01-10,CHMF
tema957,"$CHMF (Часть 1)
P.S.: Кому интересно рассмотреть мою аналитику по поводу кризиса 2008 года и причины создании финансовой оценки «Справедливой стоимости цен» на фондовых рынках?
ℹ️Информация о компании:
•  Подразумеваемая рыночная капитализация: ₽688,102 млрд.
•  Акций в обращении: 837,72 млн.
•  Официальный сайт: www.severstal.com

🔎Последние новости: 30 декабря 2022 года
1) Расширении сети «Северсталь дистрибуции», она открыла восемь складов в 2022 году.
2) Постройка установки очистки промышленно-ливневых стоков.
3) В проекте «Чистая промвесна» участвовало 400 волонтеров из разных городов.

Ещё 6 событий в 2022г. подробнее: 

www.tinkoff.ru/invest/social/profile/Severstal_official/07eea389-f765-40a7-8f61-57e831773420?utm_source=share

📈Доходы акционеров:
🔴 Доходность по сравнению с промышленностью: CHMF отстал от российской металлургической и горнодобывающей промышленности, доходность которой составила -29,2% за прошлый год.
🔴 Доходность по сравнению с рынком: CHMF отстал от российского рынка, доходность которого составила -38,2% за прошлый год.

🧮Отношение цены к прибыли по сравнению с аналогами:
🟢 Цена-прибыль по сравнению с аналогами: CHMF имеет хорошее соотношение цены и прибыли (2,8x) по сравнению со средним показателем (14,5x).
1.  открытое акционерное общество ВСМПО-АВИСМА (48,3x)
2.  АЛРОСА (5,3x)
3.  Северсталь (2,8x)
4.  Распадская (2,4х)
5.  Магнитогорский металлургический комбинат (1,9x)

💰Отношение цены к прибыли по сравнению с отраслью:
🟢 Соотношение цены и прибыли в сравнении с отраслью: CHMF имеет хорошее соотношение цены и прибыли (2,8x) по сравнению со средним показателем по металлургической и горнодобывающей промышленности Европы (5,4x).

💵Соотношение цены акций и справедливой стоимости:
🔴 Ниже справедливой стоимости: CHMF (861,4 руб.) торгуется выше нашей оценки справедливой стоимости (478 руб.).
🔴 Значительно ниже справедливой стоимости: CHMF торгуется выше нашей оценки справедливой стоимости.

💸Будущий рост от Аналитиков:
Прогнозируемый годовой рост прибыли – (-18%)

⏳ Прошлые показатели:
🟢 Качественный заработок: CHMF имеет высокий заработок.
🟢 Растущая норма прибыли: Текущая норма чистой прибыли CHMF (35%) выше, чем в прошлом году (14,8%).
🟢 Тенденция доходов: прибыль CHMF росла на 12,7% в год за последние 5 лет.
🟢 Ускорение роста: рост прибыли CHMF за последний год (301%) превышает средний показатель за 5 лет (12,7% в год).
🟢 Прибыль в сравнении с отраслью: рост прибыли CHMF за последний год (301%) превысил рост металлургической и горнодобывающей промышленности на 186,2%.
🟢 Высокая рентабельность капитала: рентабельность собственного капитала CHMF (96,8%) считается выдающейся.

⚖️Финансовое состояние:
🟢 Краткосрочные обязательства: Краткосрочные активы CHMF (3,2 млрд долларов) превышают его краткосрочные обязательства (2,6 млрд долларов).
🟢 Долгосрочные обязательства: Краткосрочные активы CHMF (3,2 млрд долларов) превышают его долгосрочные обязательства (1,8 млрд долларов).
🟢 Уровень долга: отношение чистого долга к собственному капиталу CHMF (34,8%) считается удовлетворительным.
🟢 Сокращение долга: отношение долга к собственному капиталу CHMF снизилось с 66,3% до 44,9% за последние 5 лет.
🟢 Покрытие долга: долг CHMF хорошо покрывается операционным денежным потоком (247,3%).
🟢 Процентное покрытие: Процентные платежи CHMF по своему долгу хорошо покрываются EBIT (покрытие 41x).

🧾Дивиденды:
🟢 Примечательные дивиденды: дивиденды CHMF (8,36%) выше, чем у нижних 25% плательщиков дивидендов на российском рынке (4,43%).
🔴 Высокий дивиденд: дивиденд CHMF (8,36%) низок по сравнению с 25% крупнейших плательщиков дивидендов на российском рынке (13,15%).
🔴 Стабильные дивиденды: выплаты дивидендов CHMF были нестабильными в течение последних 10 лет.
🟢 Растущие дивиденды: выплаты дивидендов CHMF увеличились за последние 10 лет.
🟢 Покрытие прибыли: благодаря разумному коэффициенту выплат (72,3%) выплаты дивидендов CHMF покрываются за счет прибыли.
&RUB AutoInvest",20:20,2023-01-10,CHMF
_SVEET_,"$CHMF 
Котировки акций Северстали в последний день декабря сделали резкий рывок в район 930, обновив многомесячные максимумы, после чего последовало коррекционное движение в первые торговые дни января.

Цена отступала от 200-дневной скользящей средней и вчера уже выходила к 862. Ранее отмечалось, что откат к 860 видится возможным после декабрьской волны роста.

На дневном таймфрейме RSI и MACD все еще смотрят вниз. В рамках восходящего канала внизу есть простор для маневра до 830, но о движении сюда будем говорить только после пробоя 860.

Пока от поддержки последовал отскок. Пробой 874 сместит вверху ориентиры к 886. 
Среднесрочно коррекцию можно использовать для наращивания позиций.",20:01,2023-01-10,CHMF
Aleksiusis,"$CHMF  Новости новостями, а СПЕКУЛЯЦИЯ спекуляцией !!! )))",19:27,2023-01-10,CHMF
Foxdkek,"🔥Добрый вечер! Новости 10.01.2023🔥
______________________________
🇷🇺 Сделки по бумагам ""Россетей"" на Мосбирже возобновятся 11 января. 
• ""Председателем правления 10 января 2023 года принято следующее решение: возобновить с 11 января 2023 года торги ценными бумагами, включенными в раздел ""Первый уровень"" списка ценных бумаг, допущенных к торгам в ПАО Московская Биржа, в связи с наступлением иных существенных событий, которые могут повлиять на проведение торгов ценными бумагами на бирже (возобновление в НКО АО НРД операций с ценными бумагами организации): акции обыкновенные публичного акционерного общества ""Федеральная сетевая компания - Россети"".
( $FEES ) ( $RSTI )

📈 Число физлиц, открывших брокерские счета на Мосбирже, выросло до 23 млн в 22г.
• Количество индивидуальных инвестиционных счетов (ИИС) за 2022 год увеличилось на 449.000 до 5,2 миллиона. Оборот по ИИС за 2022 год составил 1,7 триллиона рублей, в структуре оборота 87,6% - сделки с акциями, 4,9% - с облигациями, 7,4% - с биржевыми фондами.
( $MOEX )

🇷🇺 Газпром 11 янв начнет размещение локальных бумаг для замены ""вечных"" евробондов в долларах и евро. 
• Газпром 11 января начнет размещение локальных облигаций для замены бессрочных евробондов на $1,4 миллиарда и 1,0 миллиарда евро, сообщила компания Газпром капитал во вторник. 
( $GAZP )

📈 ВТБ в декабре выдал рекордные объемы ипотеки. 
• ""ВТБ в декабре выдал рекордный для прошлого года объем ипотеки – 24,5 тысячи кредитов на 130 миллиардов рублей"".
( $VTBR )

📈 Сбербанк в декабре выдал рекордные объемы ипотеки и потребкредитов. 
• Рекордный в 2022 году объём потребительского кредитования зафиксирован в ""Сбере"" в декабре. В последнем месяце года банк выдал кредитов на любые цели на 238 миллиардов рублей.
( $SBER )

🇷🇺 Магнит назначил директором по электронной коммерции экс-CEO Delivery Club. 
• До прихода в Магнит Гюванч с 2019 г. последовательно занимал позиции главного исполнительного директора Delivery Club и главного исполнительного директора по foodtech в О2О Холдинг.
( $MGNT )

🇷🇺 ""Сургутнефтегаз"" прекратит торговлю депозитарными расписками на Лондонской фондовой бирже. 
• Обращение на Лондонскую фондовую биржу, как уточняет ""Сургутнефтегаз"", связано с тем, что банк-депозитарий, The Bank of New York Mellon, расторгает с 23 января депозитные соглашения от 8 апр. 2008 г. между обществом, банком-депозитарием и собственниками и выгодоприобретателями АДР.
( $SNGS )

🇷🇺 Владелец «Северстали» Мордашов и его семья признаны самыми обедневшими в 2022 году миллиардерами. 
• Основной владелец компании «Северсталь» Алексей Мордашов и его семья возглавили рейтинг Forbes самых обедневших миллиардеров в 2022 году. Мордашовы потеряли более $11 млрд, сообщает издание.
( $CHMF )

🇷🇺 Энергообъекты ""Русгидро"" в Якутии готовы к морозам. 
• ""Для теплоснабжения потребителей в условиях экстремально сильных холодов энергообъекты ""Русгидро"" в Якутии имеют значительные резервы тепловой мощности"".
( $HYDR )
______________________________
📊 Microsoft может вложить до $10 млрд в разработчика чат-бота ChatGPT. 
• Имитация человеческого разговора вызвала рассуждения о том, что он может вытеснить профессиональных писателей и даже стать угрозой для основного поискового бизнеса Google. 
( $MSFT )

📊 СМИ узнали о переговорах по продаже нефтегазовых активов Shell в Норвегии. 
• ""Shell в прошлом году вела переговоры с Harbour Energy о продаже норвежских нефтегазовых проектов… Переговоры с Harbour Energy, крупнейшим британским производителем в Северном море, достигли продвинутой стадии к концу 2022 года"".
( $SHEL )

📊 Amazon закроет три склада в Великобритании, сообщил Sky News. 
• При этом, по словам представителя компании, всем 1200 работникам будут предложены места в других центрах Amazon, передает телеканал. 
( $AMZN )
______________________________
Хочешь видеть ещё больше актуальных новостей?👋
Подписывайся, чтобы не пропустить.✅








Не является индивидуальной инвестиционной рекомендацией.
Источник: ""ПРАЙМ, REUTERS, gazeta, investing"".
#новости",19:00,2023-01-10,CHMF
basebel,"$CHMF
Горно-металлургическая компания ""Северсталь"" сообщает, что выполнит все соцобязательства и даже увеличит финансирование благотворительности в 2023 году, несмотря на санкции. В 2022-2023 годах инвестиции в реализацию первого этапа проекта развития города Череповца превысят 1,5 млрд рублей.
https://tass.ru/ekonomika/16769943",18:59,2023-01-10,CHMF
Alexxx1983,$CHMF полетели,18:09,2023-01-10,CHMF
xXxCrazyGirlxXx,$PLZL $CHMF Когда меня спрашиваю «Что у тебя хорошего произошло в 2022»  Я просто показываю эти скрины😌,17:51,2023-01-10,CHMF
jaguarxx,"$CHMF 
Краткосрочная идея по Северстали. на пике локального роста была образована разворотная модель ""бычий клин"", в самом клине можно заметить двойную вершину. Считаю это сильным сигналом к локальному снижению. Максимальную цель снижения вижу на уровне в 780Р, но это мало вероятно. В идеале, цель на уровне в 830-840Р, а дальше нужно наблюдать за движением цены.

По глобальной картине писал на стене о росте Северстали, рост до 1000Р в силе, сейчас происходит фаза ретеста (модель продолжения движения).

Сейчас не прогнозирую на далёкое будущее, я всего лишь увидел возможность заработать на падении здесь и сейчас. Ещё раз повторяю- это не прогноз. Прогноз на стене, где я писал о росте до 1000Р.",17:29,2023-01-10,CHMF
_xexe__xaxa_,"$CHMF Основной владелец «Северстали» Алексей Мордашов и его семья возглавили рейтинг Forbes самых обедневших в 2022 году миллиардеров — они потеряли более $11 млрд.

Сочувствую конечно, но не искренне :Р",16:29,2023-01-10,CHMF
Delonge1,$CHMF На 800 закуп?,16:00,2023-01-10,CHMF
Kupez46,"💷💵💴💶💷💵💴💶💷💵💴💶💷💵💴💶💷💵Мордашов возглавил список самых обедневших за год российских миллиардеров - Forbes
💵💷💶💴💵💷💶💴💵💷💶💴💵💷💶💴💵💷

💰Состояние Алексея Мордашова, основного бенефициара ""Северстали"" $CHMF , из-за западных санкций сократилось за год на 11,1 миллиарда долларов - до 18,4 миллиарда, в результате бизнесмен возглавил список десяти самых обедневших в прошлом году российских миллиардеров по версии журнала Forbes.


💰Второе место по размеру потерь занимает Татьяна Бакальчук (минус 8,3 миллиарда долларов). Состояние основательницы маркетплейса Wildberries сократилось почти вдвое, до 4,7 миллиарда.

💰 Третье место (минус 5,9 миллиарда долларов, до 870 миллионов) занимает основатель ""Тинькофф банка"" Олег Тиньков, который продал свой пакет акций в размере 35,1% в группе ""Тинькофф"" ( $TCS ) Владимиру Потанину, по оценке Forbes, не дороже чем за 260 миллионов долларов.

💰Четвертое место занимает Роман Абрамович, который владеет пакетом акций Evraz (28,7%), оценка его состояния за год уменьшилась на 5,6 миллиарда долларов (до 8,7 миллиарда) из-за введения западных санкций.

💰 Вагит Алекперов, основатель и совладелец ""Лукойла"" $LKOH , покинувший пост президента компании из-за санкций, занимает пятое место в рейтинге с потерями за год в 5,1 миллиарда долларов (до 21 миллиарда).

💰Бывший вице-президент ""Лукойла"" $LKOH  Леонид Федун и его семья занимают шестое место в рейтинге из-за потерь за год в 4,2 миллиарда долларов (до 7,5 миллиарда).

💰 Седьмое место занимает Виктор Вексельберг, который с 2018 года находится под американскими санкциями. В 2022 году его состояние продолжило сокращаться, потери составили 4,1 миллиарда долларов (снижение до 5,2 миллиарда).

💰Восьмое место занимает Геннадий Тимченко с потерями в 3,97 миллиарда долларов (до 20,8 миллиарда), издание отмечает падение акций ""Новатэка"" $NVTK  на 38% - миллиардеру принадлежит около 23,5% в газовом гиганте.

💰 Леонид Михельсон с потерями в 3,3 миллиарда долларов (до 24,4 миллиарда) занимает девятое место.

💰 Десятая строчка рейтинга принадлежит Игорю Алтушкину, потерявшему за год 2,8 миллиарда долларов (до 3,4 миллиарда) из-за обвала российского фондового рынка, сказавшегося на оценке ""Русской медной компании"".

💲""Западные санкции заставили многих из них спасать свои многомиллиардные империи, а обвал фондового рынка снизил оценки состояний. По оценке Forbes, за год обеднели 68 российских предпринимателей, чье состояние в декабре 2022 превышало 1 миллиард долларов"", - отмечает журнал. В рейтинге Forbes 2021 года было 123 российских миллиардера, спустя год их количество сократилось до 88 человек.

#прояви_себя__в_пульсе
#миллиардеры
#пульс_оцени
#новости
#пульс",15:48,2023-01-10,CHMF
Segas_sanchez,$CHMF Ещё одна попытка уйти ниже 860,15:44,2023-01-10,CHMF
Delonge1,$CHMF Пора нырять,15:43,2023-01-10,CHMF
DnevnikTreidera,"🇷🇺⛓ #CHMF #разбор 📉 $CHMF

Обновил прогноз, в общем-то всё так же вниз. Цель осталась прежняя:
🎯 720-680
После выполнения цели велика вероятность отрисовать большую пГИП и показать разворот/рост.

Локально акция уходит в перепроданность и возможно отрисовка второй вершины, возможно меньше первой.

О развороте так же говорит финальный фитиль 30 декабря. Растущий тренд пробит.",15:22,2023-01-10,CHMF
Delonge1,$CHMF Почему не падает?,14:06,2023-01-10,CHMF
INVESTOMATIKA,"📉 В понедельник акции Северстали $CHMF подешевели на 1,33%, до 872,6 руб. Объем торгов составил 732 млн руб.

💼 Котировки акций Северстали в последний день декабря сделали резкий рывок в район 930, обновив многомесячные максимумы, после чего последовало коррекционное движение в первые торговые дни января.

💰 Цена отступала от 200-дневной скользящей средней и вчера уже выходила к 862. Ранее отмечалось, что откат к 860 видится возможным после декабрьской волны роста.

💸 Пока от поддержки последовал отскок. Пробой 874 сместит вверху ориентиры к 886. 

📌 Уровни сопротивления: 874 / 886 / 893–894 / 900 / 910 
📌 Уровни поддержки: 867 / 860 / 850 / 830",14:05,2023-01-10,CHMF
Delonge1,$CHMF Подтолкните её вниз,13:32,2023-01-10,CHMF
Delonge1,$CHMF Ни у кого не лагает приложение?,10:58,2023-01-10,CHMF
1ALEKS01,$CHMF вот по-любому же только в шорт возьмёшь рости будет,10:29,2023-01-10,CHMF
VprofitV,"#CHMF по просьбе подписчика $CHMF 

Сформировано сопротивление и идёт вторая волна падения. Внутри дня можно играть от шорта, ближайшая поддержка в районе 800. Для продолжения роста нужно пробить уровень 892 и закрепиться над ним.

Важные уровни глобально: 1031 и 1234",10:23,2023-01-10,CHMF
Delonge1,$CHMF Это что куда?,10:09,2023-01-10,CHMF
Fin_kot,"Всем доброе утро!
Кратко по открытым позициям. Не хочу писать по бумагам отдельно, чтобы не засорять вам ленту.

$ROLO плюсует около 2%, сегодня последний день торгов перед сплитом, торговля акциями будет закрыта до 18 января (если не прав, поправьте). Вчера с товарищем в комментариях общались по $LIFE , что это был очередной кандидат на памп, но он улетел без меня. Хотел зайти с открытия небольшим объемом, но надо было что то резать. Когда решился - было уже 5 рублей, заходить побоялся (а зря), но ничего страшного, сейчас лезть уже не очень вижу смысла, а очередной кандидат на памп в виде Русолова у меня уже в портфеле. Не исключаю, что спекулянты выйдут перед сплитом, чтобы не морозить деньги и сегодня цена упадёт, но верю что бумага дойдёт до заветных 9 рублей, пусть и после 18 января. Разбор бумаги делал перед НГ.

$PIKK Вчера вечером был непонятный слив по рынку, выглядело больше как снятие стопов. При этом сбербанк повысил ставки по ипотеке и возможно кто то из бумаги вышел на этой новости. Думаю сегодня можем увидеть снижение для отработки хвоста у вчерашней свечи. Позицию пока держу, цель 620-630 рублей. Но очень долго он конечно раскочегаривается. Стоит заметить, что когда заходил перед НГ цель на 620 мы отработали за 2 недели, но тейки не были поставлены, а закрывать по 615 пожадничал (и вам, и мне урок - не жадничать и ставить тейки по целям). Если бы сдал по тейку как планировал, то не сидел бы месяц сейчас в ожидании цели.

$ALRS нарисовала таки разворот на графике, разбирали неоднократно, вышли из нисходящего канала вверх, хотя, ретест хоть и был маленький, но не очень уверенный. Есть подозрения, что сейчас начнётся консолидация (боковик) с набором позиции. Крупного покупателя не видно, могут нас ещё месяц промариновать между 58 и 60 рублями. Цель по бумаге 63-64 рубля, брал на ретест пробитого уровня. Не исключаю хорошего отчёта или информации о компании, были на это намёки в конце года, но на котировках не сказались. В долгосрок цена в любом случае неплохая (но я а долгосрок её бы не брал, т.к. пока иксов не планируется).

$USDRUB бакс у меня в шорте, плюсует на 2-3% процента, ожидаю снижения до 68 рублей, там возможно шорт закрою. Валюту разбирал перед НГ, в целом на год жду валюту гораздо ниже. Все считают меня сумасшедшим, но время нас рассудит. Не исключаю ретеста выхода вниз и подъёма до 71 рубля, если так пойдёт бумага, то скорее всего закрою позиции в боковике и доберу шорт на фьюче уже, чтобы не платить комиссию.

$PLZL не поверите, но я все ещё держу шорт. Хотя уже и видел по нему -10%. Почему? Не верю я в бесконечный рост, думаю последние задерги перед НГ и на праздниках обусловлены валютой (которая теперь смотрит вниз), а акциям давно пора на коррекцию с целью около 7200 (а то и все 6800). Причём коррекция эта должна была начаться с 7600, однако доллар, видимо, сделал свое дело. По той же причине, прогноз по $CHMF перед НГ (ожидал коррекцию от 880 до 840) начал отрабатывать только сейчас, сначала свозили на 900+. Поэтому позицию по полюсу держу, она во фьюче и комиссию не кушает. Если будут какие то предпосылки на рост, напишу отдельно, пока шорт.

В общем как то так получается.
Из интересного - решил разобраться и попробовать поработать с опционами, открыл отдельный счёт и закинул туда символически 1000р, чтобы посмотреть что выйдет. Ликвидности там нет, много бумаг все равно не купить. А жаль, потому что с краткосрочными прогнозами у меня не всегда срабатывает, а вот опционы дают заработать на среднесрочных идеях. Грузить этим не буду, в конце месяца буду публиковать свой ""опционный портфель"" и что с ним происходит. Если про опционы интересно, то напишите, попробуем разобраться вместе.

Сегодня хочу сделать небольшой анализ сбера и газпрома, как и обещал (и рассказать, почему не покупал его на хайпе телеграмм каналов перед НГ, хотя те кто давно подписан знают как им торговать)
Всем профита, друзья!👻",8:44,2023-01-10,CHMF
AcidHeart,$CHMF Ближайший возможный уровень поддержки после теста ема200 на 847,8:37,2023-01-10,CHMF
RAND2005,"$CHMF 

Информация об открытых позициях по производным финансовым инструментам, базовым активом которых является Обыкновенные именные бездокументарные акции ПАО «Северсталь»(ISIN RU0009046510)

<  Данные на 09 января 2023  >",1:18,2023-01-10,CHMF
Delonge1,$CHMF Есть мысли куда завтра?)),23:50,2023-01-09,CHMF
Ya_ego_rodstvennik,"$CHMF Лучше б я вместо шортиков, велосипед купил",23:31,2023-01-09,CHMF
Invest_doxod,"⚔️ Что было за сегодня? 

🔹 Основной рынок немного подрос, особенно выделились  $AFLT (+2,44%), $RTKM (+1,47%), $IRAO (+1,71%). Но сам индекс встал на месте. Хорошо, что не открылся гэпом вниз и не ушёл ниже поддержки 2150 пунктов. Мы вообще не торговали толком. К терминалу подойдём завтра. Памповые акции рассматривали, на некоторых чуть-чуть прокатились. 
 А так больше ничего интересного, но завтра ожидаются крупные заходы, будем вводить приличные суммы в 3-й эшелон, посмотрим, что выйдет❗️

$MAGN, $CHMF, $GMKN, $NLMK: 
Про коррекцию металлургов писали сегодня утром. Такие мысли были ещё в пятницу. Сами зачем-то закрыли раньше времени шорт по Норникелю и ММК, а Северсталь брали в Лонг🙃. Всё наоборот тому, что сами сказали. Но такое решение от части было и вынужденым, ведь на этой неделе надо сильно заняться 3-м эшелоном. 
 Сегодня снижению данной отрасли послужил и спад всей валюты по главе с $USDRUB, он отскочил опять от последних максимумов. 
 Мнение по экспортёрам не меняем, среднесрочно лонг, но вот такие коррекции конечно неизбежны. 

$HYDR (➕1,5%✅) $ENPG (➕0,85%✅):
На вечерней сессии интересные скачки. РусГидро выглядит так, как будто она следующая на памп, поскольку периодические рывки замечаются. En+Group гонят к 400 на мелких объёмах. От 376 следовал хороший закуп, возможно поэтому и загнали так акции. 

$GEMC (➕1%✅) $RENI (➕2%✅) $ROLO (➕0,5%) Русгрэйн (➕0,5%): 
 Конечно не обошлось без хлама. Юнайтед под вечер стартанул, стакан вообще пуст был, поэтому движение напрашивалось. Ренессанс покушается на взлёт как и Русгрэйн, пока что тишина и иногда мелкие рывки с последующим откатом. Русолово так и не пробьёт 8,2, нижи идти нет повода, а сверху ставят жёсткие плиты. 

💪 Завтра будет жарко

😢 За сегодня ➕0,4% к депо 😢

✅ ПОДПИСЫВАЙСЯ И НИЧЕГО НЕ ПРОПУСКАЙ! 
не иир",22:13,2023-01-09,CHMF
Delonge1,$CHMF Откуда завтра вниз?,21:26,2023-01-09,CHMF
ArtemyTroizkiy113,$CHMF погружаемся,20:18,2023-01-09,CHMF
Segas_sanchez,"$CHMF
 На сегодня все, до закрытия будем плавать плюс минус рубль",20:16,2023-01-09,CHMF
Delonge1,$CHMF Оно все таки вниз или вверх?,19:51,2023-01-09,CHMF
