login,post,posts_time,posts_dt,ticker
serg78volga,"$FIVE все продают больше чем покупают,а цена растет стремительно вверх,,,по всем всем правилам должна падать ...",20:31,2023-01-11,FIVE
AdamovichAlexey,"Fix Price — одна из ведущих на международном рынке и крупнейшая в России сеть магазинов низких фиксированных цен. 

По средним темпам роста выручки, за последнее 3 года, и рентабельности $FIXP остается лидером в своем секторе, но все равно является проблемным активом. У него хоть и снижаются стоимостные мультипликаторы, но остаются самыми высокими,  по сравнению с 
аналогами. Еще вызывает опасение растущая долговая нагрузка. 

Последнее дни формируется зарождение нового растущего тренда. 
Оттолкнулись от области поддержки на 330 и постепенно пробивали уровни сопротивления на 347,5 и 351,9. Я вчера купил, со стопом ниже 330. 
Для меня это пока спекулятивная идея, рассчитываю на восстановление котировок вслед за общим ростом сектора. Если сравнивать с котировками акций $FIVE и $MGNT, $FIXP отставал в восстановление после падения в прошлом году.  

#пульc_обучает
#прояви_себя__в_пульсе",12:35,2023-01-10,FIVE
stalker_5369,"$FIVE ватерклозет, такую бумагу только туда",12:20,2023-01-10,FIVE
HoMya4KiNs,"$FIVE не подскажите, почему весь ретейл так сильно поплыл? я понимаю, что от $MGNT дивидендов ждать не придется, но остальные представители этого сектора и так их не платили. те же самые $OKEY и $LENT тоже идут на юг, несмотря на то, что этот квартал, традиционно, должен быть сильным из-за новогодних праздников. в общем, если вам известны какие-либо весомые факторы снижения котировок, то поделитесь, если не жалко.",12:12,2023-01-10,FIVE
Nyaz,$FIVE падение продолжится?,11:13,2023-01-10,FIVE
Ganster020,$FIVE да что с тобой не так?????,11:00,2023-01-10,FIVE
CashflowTime,"⚡️X5 Group $FIVE  - лидер российского продовольственного ритейла. ❓Какие перспективы?

📍Сразу о плохом. По всей видимости, дивидендов в ближайшее время ждать не приходится. Денежный поток компании позволяет заплатить дивиденды акционерам, но у X5 зарубежная регистрация и по неподтвержденной информации, изменение юрисдикции маловероятно в 2023 году. Связано это, в первую очередь, с юридические тонкостями.

📍Котировки продемонстрировали достойный результат в 2022 году на фоне общего падения рынка. Сыграл защитный характер актива.

📍Компания продолжает завоёвывать рынок, в том числе, делая агрессивную ставку на увеличение розничной сети жёстких дискаунтеров Чижик, отвечая и чутко реагируя на запрос потребителей.

📍Инфляция и спрос на продуктовую корзину делают свое дело. Финансовые успехи компании в 2022 году не вызывали сомнений. Ожидаем продолжения этой тенденции.

🔻К рискам можно отнести покупательную способность населения страны, которая может снизиться из-за ухудшения общих экономических условий.

‼️Сегмент бизнеса очень подходит для инвестиций в текущей ситуации, но отсутствие дивидендов из-за иностранной регистрации не позволяет в полной мере раскрыться внутренней стоимости компании.
Не рекомендация!
@cashflowtime

⁉️ Ваше мнение по акциям X5 Group:
👍Вырастут 👎Упадут  🔥Наблюдаю

Полезно👍 
✅Подписывайтесь на наш канал 
#учу_в_пульсе #аналитика #акции #новости #инвестиции #прогноз #новичкам #идея #пульс",10:59,2023-01-10,FIVE
Fabrika_invest,"$FIVE 

💡Покупка Пятерочки
🧠Впереди тяжелые экономические годы для  России. Люди будут экономить на всём. Но есть все равно придётся
🏪Новая сеть Чижик от Пятёрочки - это продукция собственной торговой марки по низким ценам, но с отличной доходностью.
От санкций не зависит, на курс валюты всё равно, новыми налогами в пользу бюджета не облагались.

⚒️Технический разбор
🧩Пришли и пытаемся закрепиться на хорошем уровне 1400-1600, минимум 2019 года
🛒Покупать можно с текущих. НО с возможным усреднением на 1200
🎯Цель 2500-3000 (+100% к текущей цене)
⌛️Срок 1-2 года
⛔️Сделка без стопов, в долгосрок

Как вам идея?
🔥 или 👎

#идея",10:31,2023-01-10,FIVE
mihail4122,$FIVE,10:16,2023-01-10,FIVE
Tinkoff_Trading,"Лучшие торговые прогнозы по теханализу
на 10 января
RUB бумаги


📈 Потенциал роста

💼 Бумага Сегежа $SGZH
💰 Потенциал роста 7.94%
🗓 Срок 18 дней
💡 В 83% случаев в прошлом была прибыль
🔍 На основе индикатора Awesome Oscillator (Beta)

💼 Бумага МОЭСК $MSRS
💰 Потенциал роста 0.19%
🗓 Срок 3 дня
💡 В 62% случаев в прошлом была прибыль
🔍 На основе индикатора Stochastic RSI (Alpha)

💼 Бумага ЧЗПСН $PRFN
💰 Потенциал роста 9.5%
🗓 Срок 4 дня
💡 В 59% случаев в прошлом была прибыль
🔍 На основе индикатора True Strength Index (Alpha)

💼 Бумага МРСК Сибири $MRKS
💰 Потенциал роста 3.66%
🗓 Срок 6 дней
💡 В 57% случаев в прошлом была прибыль
🔍 На основе индикатора Awesome Oscillator (Gamma)

💼 Бумага Красный Октябрь $KROT
💰 Потенциал роста 5.6%
🗓 Срок 20 дней
💡 В 57% случаев в прошлом была прибыль
🔍 На основе индикатора Awesome Oscillator (Beta)

💼 Бумага Трубная Металлургическая Компания $TRMK
💰 Потенциал роста 1.41%
🗓 Срок 7 дней
💡 В 57% случаев в прошлом была прибыль
🔍 На основе индикатора Awesome Oscillator (Gamma)

💼 Бумага Красный Октябрь $KROT
💰 Потенциал роста 5.27%
🗓 Срок 22 дня
💡 В 56% случаев в прошлом была прибыль
🔍 На основе индикатора True Strength Index (Beta)


📉 Потенциал падения

💼 Бумага Детский Мир $DSKY
💰 Потенциал падения 2.03%
🗓 Срок 5 дней
💡 В 76% случаев в прошлом была прибыль
🔍 На основе индикатора Moving Average Convergence Divergence (Gamma)

💼 Бумага МТС $MTSS
💰 Потенциал падения 0.12%
🗓 Срок 5 дней
💡 В 71% случаев в прошлом была прибыль
🔍 На основе индикатора Williams R (Beta)

💼 Бумага МТС $MTSS
💰 Потенциал падения 0.09%
🗓 Срок 3 дня
💡 В 67% случаев в прошлом была прибыль
🔍 На основе индикатора Stochastic RSI (Alpha)

💼 Бумага Башнефть - привилегированные акции $BANEP
💰 Потенциал падения 0.15%
🗓 Срок 3 дня
💡 В 64% случаев в прошлом была прибыль
🔍 На основе индикатора Bollinger Bands (Alpha)

💼 Бумага Полюс Золото $PLZL
💰 Потенциал падения 0.47%
🗓 Срок 5 дней
💡 В 64% случаев в прошлом была прибыль
🔍 На основе индикатора Moving Average Convergence Divergence (Gamma)

💼 Бумага МКБ $CBOM
💰 Потенциал падения 0.16%
🗓 Срок 4 дня
💡 В 63% случаев в прошлом была прибыль
🔍 На основе индикатора Williams R (Beta)

💼 Бумага ГДР X5 RetailGroup $FIVE
💰 Потенциал падения 0.38%
🗓 Срок 6 дней
💡 В 62% случаев в прошлом была прибыль
🔍 На основе индикатора Awesome Oscillator (Gamma)

💼 Бумага Детский Мир $DSKY
💰 Потенциал падения 1.24%
🗓 Срок 12 дней
💡 В 54% случаев в прошлом была прибыль
🔍 На основе индикатора Moving Average Convergence Divergence (Beta)


❓ Как они попали в топ?
Мы смотрим на исторические данные за 10 лет, а именно: как часто возникали сигналы на покупку или продажу для каждой комбинации из тикера, индикатора и стратегии, и насколько они были прибыльными. Исходя из собранной статистики, мы показываем вам торговые идеи, которые в прошлом были самыми успешными. Больше идей ищите в разделе теханализа на полках в Что купить.

#теханализ #теханализ_в_пульсе",9:22,2023-01-10,FIVE
