login,post,posts_time,posts_dt,ticker
Zeikan.Ivan,"Доброе утро друзья!😉☕С Рождеством!✨🎄✨🎄✨🎄✨ $IBM   Технологическая корпорация из США. Разрабатывает программное обеспечение, решения для хранения, защиты, обработки и управления данными, компьютерное оборудование и IT-инфраструктуру. Продукты компании используют в аэрокосмической, оборонной, автомобильной, энергетической, финансовой, телекоммуникационной и других отраслях  ✨🎄✨🎄✨🎄✨ $VZ Телекоммуникационная компания и крупнейший оператор сотовой связи в США. Обеспечивает абонентов связью 3G и 4G. Последняя покрывает территорию, на которой живёт 98% населения США. Предоставляет доступ к интернету и кабельному телевидению, продаёт мобильные телефоны и модемы. Обслуживает корпоративных клиентов  ✨🎄✨🎄✨🎄✨  $T Самая крупная телекоммуникационная компания в мире. Мобильный оператор в США и подрядчик военной связи для американской армии. Обеспечивает клиентов телефонной связью, спутниковым телевидением, интернетом, продаёт цифровую рекламу.
Ещё AT&T владеет компанией Time Warner, которая объединяет производителя сериалов и фильмов Warner Bros. Entertainment, телевизионную сеть HBO, телеканал CNN, журнал Time и другие медиакомпании. #учу_в_пульсе #прояви_себя_в_пульсе #пульс_оцени #новичкам",9:00,2023-01-07,IBM
VladRud,$IBM почему рост?,0:13,2022-11-19,IBM
naHukAaa,"$IBM из ""вымпела"" вышли, осталось 100ую ема пробить и ракета заряжена!",17:56,2022-11-15,IBM
BigDaddy205,"Так выглядел портфель Уоррена Баффетта 10 лет назад. 
Вопрос знатокам: какие акций сейчас в его портфеле?

$KO $IBM $WFC",10:33,2022-11-15,IBM
1RO,"🐹 Добрый вечер 

Банк России допустил уголовные риски для держателей акций Meta Platforms, которые продолжат оставаться акционерами компании после 11 ноября. Об этом сообщил журналистам первый зампред регулятора Владимир Чистюхин в кулуарах форума Finopolis-2022, передает корреспондент «РБК Инвестиций»

«Мне представляется, что уголовные риски могут грозить после того, когда легальный статус держателей бумаг будет уточнен. Нам сперва нужно решить шаг номер один — будем ли мы считать акции Meta именно экстремистскими вложениями. Если это будет признано так, то да, наверное, будут какие-то ограничения», — сказал он

✍️ Новостная газета 11.11.22

1️⃣ Минцифры надеется на скорое утверждение ""дорожной карты"" по поддержке IT-экспорта

2️⃣ Действующий план энергетического перехода для достижения климатической нейтральности нереалистичен и в действительности привел к энергетическому кризису, заявил глава Saudi Aramco Амин Нассер в ходе конференции, организованной в рамках климатического саммита СОР27

3️⃣ Криптовалютная биржа FTX инициировала банкротство в соответствии со статьей 11 Кодекса о банкротстве США

4️⃣ Совет директоров Газпром нефть 14 ноября примет решение о созыве внеочередного собрания акционеров и по рекомендациям о размере промежуточных дивидендов за 9 месяцев 2022 года, сообщил эмитент $SIBN

5️⃣ IBM станет партнером нового производителя полупроводниковых компонентов Rapidus. Он создается Toyota, Sony и еще шестью японскими компаниями $IBM

6️⃣ ЦБ РФ продолжает обсуждать идею создания фонда компенсации потерь инвесторам, чьи активы были заморожены, сообщил первый зампред Банка России Владимир Чистюхин

7️⃣  Twitter в четверг пережил исход еще нескольких топ-менеджеров, при этом новый владелец компании Илон Маск предупредил о возможности банкротства, поскольку он борется за то, чтобы взять под контроль финансы платформы $TWTR

8️⃣ Сбербанк России планирует открыть филиал в Китае в дополнение к представительству, ведет переговоры с местным регулятором $SBER

9️⃣ Компания Вкусно - и точка, завершает процедуру передачи исключительных прав по договору франчайзинга белорусской сети предприятий быстрого обслуживания под управлением ""КСБ Виктори Рестораны""

1️⃣0️⃣ ЦБ РФ планирует вернуться к публикации финансового результата банковского сектора по итогам 2022 года, заявил директор департамента банковского регулирования и аналитики Банка России Александр Данилов

#россия #сша #новости",20:05,2022-11-11,IBM
GMR,"❗️ГЛАВНЫЕ НОВОСТИ 🔥
•🇨🇳 Китай объявил о самом значительном послаблении политики нулевой терпимости к коронавирусу, в результате чего местные фондовые рынки и глобальные рисковые активы взлетели вверх. 

•🇷🇺 Мосбиржа начнет рассчитывать индекс российских облигаций в юанях.

•🪙 Глава #Binance предупредил о возможном скором крахе ряда криптовалютных компаний.

•🇷🇺 Попытки искусственно влиять на курс рубля «вредны» и экономически бессмысленны. Даже при текущем крепком рубле экспорт остается прибыльным по всем отраслям, заявил глава Сбербанка.

•🇷🇺 Минфин запланировал увеличить российский госдолг до уровня не выше 20% ВВП.

•🔫 В Великобритании прошли первые стрельбы из мощного лазерного оружия. Это вывело страну в мировые лидеры лазерных оборонных технологий. Цели получилось поразить на расстоянии до 3,4 км.

•💵 Cредний курс покупки/продажи наличного доллара в банках Москвы на 16:00 мск составил 61,97/67,33 руб.

•❕ЦБ допустил уголовные риски для держателей акций запрещённой в РФ FB.

•🚘 Минпромторг РФ не обсуждает передачу завода $TM в пользу государственного ""НАМИ"".

•💠 $IBM станет партнером будущего японского чип-мейкера Rapidus.

•🆘 Илон Маск упомянул о вероятности банкротства $TWTR и признался, что продал акции $TSLA для спасения компании.

•💊 Препарат Imfinzi $AZN одобрен в США для лечения метастатическим немелкоклеточным раком лёгкого.

❗️СЦЕНАРИИ ПАДЕНИЯ РЫНКА:
https://www.tinkoff.ru/invest/social/profile/GMR/259ba5c8-395b-4fcc-aa48-9d313afa8201

🏆 БУДУЩИЕ ЛИДЕРЫ РЫНКА:
https://www.tinkoff.ru/invest/social/profile/GMR/1e5759bd-5d49-4441-a104-a439819f4678

🎓 СТАТЬ КВАЛОМ, БЕЗ ПРЕМИУМА И $:
https://www.tinkoff.ru/invest/social/profile/GMR/c764fa06-7c36-40e2-b043-3aa1f8c8d2c7

❔О СТРАТЕГИЯХ И ПОДВОДНЫХ КАМНЯХ:
https://www.tinkoff.ru/invest/social/profile/GMR/f9f4aed7-e3a7-4b4c-92e9-71f5972791aa

🔥 СТРАТЕГИИ
🚀 &Go USD на +20%. Долетим до +50% и ребалансировка. Момент для входа хороший.

😎 &Антикризисная легендарная рублёвая стратегия, которая не падала никогда. При нынешнем рынке РФ я склонен заходить в него, обладая какой-то информацией, делать за час 10-30% и снова выходить в кэш. Такие шансы могут выпадать несколько раз в год, поэтому пока движения по стратегии происходят редко.

⭐️ &Потенциал кратного роста USD используйте просадку для входа. Ждём реализации глобальных процессов, которые приведут к росту стратегии более чем на 70%. Мои опасения за неё: 0/10. Швейцарские аналитики оценили её рост на 75-80% за 12 месяцев при базовом сценарии. И на 130-140% при оптимистичном 👍

Всем добра, успеха и берегите нервы 🤗
#новости #стратегии $USDRUB",18:00,2022-11-11,IBM
FullTimeTrading,"Очень внимательно следите за $ON Единственный суперкар, который сигналит целый год своей относительной силой

$IBM пробивает сумасшедшую базу консолидации на недельном

$GM заряжается на пробой 200 EMA

SPY следим за сопротивлением в 400-410, а пока лонг",17:54,2022-11-11,IBM
USstocks,"📋Toyota Motor, Sony Group, IBM вместе с шестью другими японскими компаниями создают новый бизнес по производству полупроводников нового поколения

Предприятие будет называться Rapidus, и ожидается, что оно будет производить полупроводники к концу 2020-х годов.

Это предприятие создается на фоне растущей конкуренции со стороны крупных экономик за передовые чипы для поддержки таких приложений, как искусственный интеллект.

Соглашение является частью многомиллиардных усилий Японии по возрождению своей полупроводниковой промышленности и уменьшению зависимости от Тайваня.

Японское правительство инвестирует $493 миллиона в Rapidus.

#tm #sony #ibm
👣 Заходите в профиль, подписывайтесь на канал.
👀 Комментируйте, ставьте лайки, если было полезно.
$TM $SONY $IBM",16:01,2022-11-11,IBM
Semen_ershov,"Иностранные новости:
$BAYN@DE Bayer приобретает немецкий биотехнологический стартап Targenomix, являющийся дочерним предприятием Института молекулярной физиологии растений им. Макса Планка.
После приобретения Targenomix займётся научно-исследовательской деятельностью Bayer в области растениеводства, продолжая внедрять новые подходы системной биологии для создания инновационных продуктов защиты растений.
Условия и стоимость приобретения стороны не раскрыли.
$BYND Beyond Meat отчитался по GAAP за 3 квартал и 9 месяцев 2022 года.
3 квартал:
Чистый убыток компании за отчётный период вырос до $101,7 млн, по сравнению с $54,8 млн годом ранее.
Выручка снизилась на 22,5% до $82,5 млн, по сравнению с $106,4 млн годом ранее.
9 месяцев:
Убыток за 9 месяцев вырос в 3 раза до $299,27 млн, по сравнению с $101,73 млн в предыдущем году.
Выручка сократилась на 6,9% до $339 млн против $364 млн годом ранее.
Прогноз на 2022 финансовый год:
— Выручка снизится на 9-14% и будет находиться в диапазоне от $400 до $425 млн.
— Сокращение 19% штата компании, объявленного ранее, будет стоить ей порядка $4 млн, в связи с компенсацией рабочим.
$IBM Корпорация International Business Machines заявила в среду, что запустила 433-кубитавый квантовый компьютер Osprey.
Отмечается, что новый квантовый компьютер имеет в три раза больше кубитов, чем суперкомпьютер Eagle, анонсированная в прошлом году.
Директор по исследованиям IBM Дарио Гил рассказал на презентации, что корпорация все еще находится на пути к запуску компьютера с более чем 1000 кубитами, но для дальнейшего масштабирования проекта компания работает над новым подходом.
$AMZN Amazon стала первой потерявшей $1 триллион компанией в мире
Крупнейший в мире игрок на рынках платформ электронной коммерции Amazon стал первой публичной компанией в мире, потерявшей один триллион долларов рыночной стоимости.
$PLTR Palantir предоставил нейтральные финансовые результаты за III квартал 2022 г., прогноз по выручке на IV квартал не дотянул до консенсуса. Аналитики БКС Мир инвестиций комментируют отчет и дают свои рекомендации на счет акций компании. 
Выручка составила $478 млн (+22% г/г против 23% г/г прогнозов). Операционная маржа — 17% вместо 12% консенсуса. Ожидания менеджмента по выручке на IV квартал $503–505 млн против $507 млн прогноза, а по операционной прибыли — $78–80 млн вместо $65 млн консенсуса.
Рост в сегменте правительственных структур ускорился на фоне подписания новых контрактов в США. Рост выручки государственного сегмента (57% от совокупной) по итогам квартала составил 26% г/г вместо 13% г/г ранее. Ускорение наблюдалось в связи с увеличением активности заключения сделок с государственными структурами США (~80%) на фоне завершения фискального года в сентябре для правительственных организаций.

Замедление темпов роста коммерческого сегмента на фоне ухудшения макроусловий. Рост выручки коммерческого сегмента (43% от совокупной) по итогам квартала составил 17% г/г против 46% г/г кварталом. Снижение наблюдалось на фоне удлинения процесса заключения контрактов в Европе (инфляция, энергокризис) и негативной валютной переоценки (укрепление доллара США).

Операционная маржа, несмотря на рост найма, превысила консенсус из-за сокращения G&A и расходов на облачные решения. Маржа по итогам квартала составила 17% против 12% ожиданий. Компания в рамках стратегии наращивания коммерческих клиентов наняла 450 сотрудников, в основном в отдел продаж. Однако сокращение расходов на облачные решения ($9 млн) и G&A ($14 млн) позволило Palantir превысить консенсус по маржинальности.

Менеджмент подтвердил прогноз по выручке и повысил по операционной прибыли на 2022 г. Выручка ожидается в диапазоне $1,9–1,902 млрд (+23%г/г), а операционная прибыль $384–386 млн (маржа 20% против 18% ранее).

Буду выкладывать каждый день по одной-две главные-ключевые мысли из книг, которые читаю. Плюс новости.  Подписывайся, если тебе интересно.
#обучение #учу_в_пульсе #прояви_себя_в_пульсе",20:41,2022-11-10,IBM
GMR,"❗️ГЛАВНЫЕ НОВОСТИ 🔥
•🔺 Индексы США растут на новых данных по инфляции.

•🇺🇸 Потребительские цены в США выросли на 7,7% по сравнению с годом ранее, что ниже 8,2% в сентябре и явно ниже консенсус-прогноза 8,0%. Текущая динамика цен также ослабла больше, чем ожидалось. Общие цены выросли всего на 0,4% за месяц, по сравнению с 0,6% в сентябре, а базовые цены, из которых исключены волатильные продукты питания и энергоносители, выросли на 0,3%, а не на 0,5%, как ожидалось.

•🇷🇺 Госдума приняла во втором и третьем чтении закон о новом бюджетном правиле, предполагающий его смягчение на 2023-2024 годы для более высоких расходов бюджета. 

•🇷🇺 НРД уточнит позицию США по налогам на заблокированные активы, чтобы помочь участникам рынка в подготовке обращений за индивидуальными лицензиями для разблокировки.

•🇧🇾 В Белоруссии ожидают рекордный профицит внешней торговли.

•🇮🇳 Индия не намерена снижать свою зависимость от российских удобрений и нефти.

•🪙 Криптовалюты упали, так как Binance отказала FTX. #BTC пробил 16$ тыс.

•💵 Cредний курс покупки/продажи наличного доллара в банках Москвы на 16:00 мск составил 62,37/67,71 руб.

•🟡 #TCS group рассматривает возможность нескольких M&A на фоне хорошего уровня ликвидности группы.

•🔵 Глава #ВТБ назвал согласование параметров сделки по покупке ""Открытия"" делом нескольких дней.

•💠 $IBM представила квантовый процессор с 433 кубитами - самый мощный и совершенный в мире.

•🅰 $AMZN первой в истории потеряла больше 1$ трлн рыночной стоимости.

•✳️ $ADP запускает bayback на сумму до 5$ млрд.

•💊 $AZN отзыват заявку на применение вакцины от COVID в США.

•💠 $INTC анонсировала Xeon Max - первые в мире x86-процессоры с памятью HBM.

❗️СЦЕНАРИИ ПАДЕНИЯ РЫНКА:
https://www.tinkoff.ru/invest/social/profile/GMR/259ba5c8-395b-4fcc-aa48-9d313afa8201

🏆 БУДУЩИЕ ЛИДЕРЫ РЫНКА:
https://www.tinkoff.ru/invest/social/profile/GMR/1e5759bd-5d49-4441-a104-a439819f4678

🎓 СТАТЬ КВАЛОМ, БЕЗ ПРЕМИУМА И $:
https://www.tinkoff.ru/invest/social/profile/GMR/c764fa06-7c36-40e2-b043-3aa1f8c8d2c7

❔О СТРАТЕГИЯХ И ПОДВОДНЫХ КАМНЯХ:
https://www.tinkoff.ru/invest/social/profile/GMR/f9f4aed7-e3a7-4b4c-92e9-71f5972791aa

🔥 СТРАТЕГИИ
🚀 &Go USD на +12%. Долетим до +50% и ребалансировка. Момент для входа хороший.

😎 &Антикризисная легендарная рублёвая стратегия, которая не падала никогда. При нынешнем рынке РФ я склонен заходить в него, обладая какой-то информацией, делать за час 10-30% и снова выходить в кэш. Такие шансы могут выпадать несколько раз в год, поэтому пока движения по стратегии происходят редко.

⭐️ &Потенциал кратного роста USD используйте просадку для входа. Ждём реализации глобальных процессов, которые приведут к росту стратегии более чем на 70%. Мои опасения за неё: 0/10. Швейцарские аналитики оценили её рост на 75-80% за 12 месяцев при базовом сценарии. И на 130-140% при оптимистичном 👍

Всем добра, успеха и берегите нервы 🤗
#новости #стратегии $USDRUB",18:17,2022-11-10,IBM
