login,post,posts_time,posts_dt,ticker
FA_Options,"Всем доброго времени суток.
В первую очередь всех поздравляю с праздником, с Рождеством Вас дорогие подписчики.

А теперь давайте посчитаем прибыль по позициям вчерашней экспирации: На скриншоте это все не зачеркнутые опционы:

$AA   5*1.19*100 = 595$
$BYND   5*0.26*100 = 130$
$COST   1*9.44*100 = 944$
$GM   5*0.96*100 = 480$
$INTC   10*0.46*100 = 460$   (публичная сделка)
$LI   10*0.59*100 = 590$
$MS   2*1.74*100 = 348$
$QCOM   2*2.74*100 = 548$
$RCL   5*1.04*100 = 520$   (публичная сделка)
$TAN   3*0.99*100 = 297$

ИТОГО:   4912$

Как видите мы продолжаем зарабатывать на любом движении рынка. Некоторые позиции роллируем, без этого никуда, но мы в итоге все равно выводим сделку в прибыль.

П.С. Если у Вас есть вопросы и недопонимание по опционам, пожалуйста спрашивайте в комментариях и в нашем канале.",11:26,2023-01-07,INTC
Master133,"Раздумываю над формированием портфеля дивидендных американских акций. В марте 2022 г. весь предыдущий американский портфель (а это более 80 эмитентов из различных отраслей) распродал с очень хорошей прибылью, но буквально отрывал от сердца, так как собирал по крупицам.

Сейчас из старого списка выбрал около 20 компаний, по 1-2 из каждого сегмента: в финансах $BAC $BEN, в телекоме $T, в энергетике $EIX и тд. Все компании планирую покупать только под дивиденды.

Но вот что останавливает. Несмотря на то, что дивиденды вроде как начали приходить, но выплаты по конкретным эмитентам формирует СПБ Биржа. И вот тут у меня начались сомнения. Хотел купить $VZ - его нет среди компаний, по которым платят; смотрю $INTC - аналогичная ситуация. И что делать? СПБ Биржа будет каждый квартал формировать списки к выплате? И как эти списки будут ранжироваться? Где гарантия, что в следующий раз та же AT&T не будет убрана из списка?

С другой стороны, у меня есть статус квала. Он позволит мне покупать напрямую на тех же насдаке/нью-йоркской фондовой бирже минуя нашу СПБ? Или Тиньков такое не практикует?

В общем пока только одни вопросы и наверное в ближайшие полгода в американцев не полезу, буду сидеть в нашей уютной песочнице с голубыми фишками и ОФЗ.",12:26,2023-01-03,INTC
midaus063,"$INTC Джоны долго спали, с теперь за 2 дня хотят устроить ралли)",19:31,2022-12-29,INTC
Journalbigmountain,"$INTC Big Mountain Everest🗻
При правильном подходе и индивидуальных сделках. Данная акциях могла принести в целом большее 2 тысяч долларов за 2022 год.",18:56,2022-12-29,INTC
USstocks,"📋VLSI Technology и Intel договорились урегулировать патентный спор

VLSI требовала от Intel возмещения ущерба на сумму $4 миллиардов, сообщает Reuters. 

VLSI, портфельная компания Fortress Investment Group, которая была приобретена SoftBank (SFTBY) в 2017 году, подала ряд исков против Intel, утверждая, что производитель микросхем нарушил ее интеллектуальную собственность.

#intc
👣 Заходите в профиль, подписывайтесь на канал.
👀 Комментируйте, ставьте лайки, если было полезно.
$INTC",15:42,2022-12-29,INTC
USstocks,"🔥Check Point Software Technologies объявила о расширении сотрудничества с Intel

Компания предложит расширенные возможности защиты от программ-вымогателей для клиентов Check Point Harmony.

По мере того, как атаки программ-вымогателей становятся все более масштабными и изощренными, интеграция технологии обнаружения угроз платформы Intel vPro в Check Point Harmony Endpoint помогает обеспечить предприятиям защиту от программ-вымогателей на уровне процессора как на аппаратном, так и на программном уровне без дополнительных затрат.

#chkp #intc
👣 Заходите в профиль, подписывайтесь на канал.
👀 Комментируйте, ставьте лайки, если было полезно.
$CHKP $INTC",14:30,2022-12-29,INTC
Denis.Karnovan,$INTC а когда 40? Там никто не в курсе?),7:10,2022-12-29,INTC
SmallBuster,$INTC думаю объяснять не надо. И так все понятно. ),19:52,2022-12-28,INTC
rambler87,$INTC что-то с криптой теперь вниз катиться?),22:52,2022-12-27,INTC
SmallBuster,"$INTC вперёд уже давай на 20, хватит ехидно елозить, типа собираясь отскок сделать. Нет у тебя на это сил. Нету.",22:34,2022-12-27,INTC
