login,post,posts_time,posts_dt,ticker
JuliyaBog88,"$LKOH у меня сердечный приступ будет, от таких перепадов🤣🤣 давай уже, вверх всегда тяжело, но есть такое слово -НАДО😎",20:35,2023-01-08,LKOH
_SVEET_,"$LKOH 
Акции ЛУКОЙЛа росли третий день подряд на фоне притока реинвестируемых дивидендов. В условиях тонкого рынка даже небольшой объем возвращающихся в акции средств может ощутимо разгонять волатильность.

Впереди уровень постдивидендного максимума 4150 руб., который может выступить сопротивлением при первом подходе. На часовом графике осциллятор RSI уже развернулся в зоне перекупленнгости, сигнализируя о возможном локальном перегреве. Такие сигналы могут указывать на замедление тренда, но не на его прекращение. После коррекции восходящая волна вполне может продолжиться.

Цены на нефть вчера потеряли более 4% и сегодня с утра не спешат восстанавливаться. Это негативный фактор для акций нефтяной компании, который также повышает шансы на коррекцию в ходе сегодняшней сессии.

В случае преодоления постдивидендного максимума в районе 4150 руб. для котировок открывается широкий потенциал для восстановления в район 4400 руб. Однако инвесторы могут с осторожностью подходить к покупкам, оглядываясь на актуальные данные по влиянию на компанию потолка цен и эмбарго в ЕС. В полной мере оценить их пока нельзя, особенно учитывая, что еще не все меры вступили в силу. Это может быть сдерживающим фактором на среднесрочной дистанции.",14:31,2023-01-07,LKOH
KirillOl,$LKOH расскажите это может быть налог который а конце года снимают ?,14:11,2023-01-07,LKOH
Yverenno,"Всем салют и всех с Рождеством! ☺
В своём профиле я пишу только про те акции , которые у меня есть в портфеле или про те что хочу купить) 
Итак, всем отличного и продуктивного дня! 😌

    $LKOH  🔝 Экологичный подход 

В Республике Коми реализуется комплексный экологический проект по очистке попутного нефтяного газа от сероводорода на Баяндыском и Восточно-Ламбейшорском месторождениях.

За 9 лет подготовлено более 4 млрд м³ товарного газа, который используется как для собственных нужд, так и для реализации внешним потребителям.

За это же время из сероводорода, выделенного в процессе очистки газа, произведено свыше 175 тыс. тонн технической гранулированной серы. Её используют в производстве искусственных волокон, люминофоров, пигментов, красителей, лекарств.

Не ИИР. 


#пульс #тиньков #лукойл #портфель",13:18,2023-01-07,LKOH
Demon13051979,$LKOH Кто пылесосит акции с 4132 до 4067 ? По всем акциям кто-то ведёт набор?,13:04,2023-01-07,LKOH
Toni355,"$LKOH Как выбрать акцию для инвестиций?
Вы пришли на фондовый рынок и решили, что настало время купить парочку акций. Но как выбрать? Компаний много, а вы — один. Давайте разбираться


Для начала можно выбрать отрасль, в которую вам хотелось бы вложиться. Это может быть металлургия, ретейл, нефтегазовый сектор, телеком, финансы, удобрения, строительство, энергетика, IT. Если вы уже собираете инвестиционные портфель, то лучше выбрать несколько секторов, а не один. Так вы сможете защитить свои вложения, если в одной из отраслей экономики что-то пойдет не так.

Если с этим определились, то круг уже сузился. Теперь настало время решить, какие конкретно акции купить. Это значит, что нужно оценить много компаний по разным критериям и выбрать, какие из них лучше, перспективнее и больше подойдут вашим целям. Это займет время, но зато вы будете уверены в том, что ваши деньги станут работать и принесут доход. Критериев для выбора компаний очень много. Мы остановимся на самых базовых.


Финансовое состояние

Все компании, которые торгуются на бирже, должны отчитываться перед своими акционерами. Что происходит с компанией, можно посмотреть в ее финансовых отчетах. Компании их публикуют у себя на сайтах каждый квартал, то есть раз в три месяца, и годовой итог.


•Из отчетностей можно узнать, сколько компания зарабатывает, какие у нее долги, кто и сколько ей должен, сколько своей продукции продает, сколько тратит на ее производство, кому продает и так далее. Когда вы откроете отчет, скорее всего, испугаетесь того количества непонятных строк, которые увидите. Самое основное, на что нужно обратить внимание, — это выручка, чистая прибыль, EBITDA, капитал. Благополучная компания должна зарабатывать прибыль, а ее выручка, EBITDA, капитал должны расти.                              #акции #лукойл                  Дивиденды

Посмотрите, платит ли компания дивиденды. Если да — то сколько. Эту информацию можно найти в дивидендной политике компании. Оттуда узнаете, как часто компания будет выплачивать вам деньги из своей прибыли и как много. Подробнее о том, что такое дивиденды и дивидендная политика, мы писали в статье 10 главных терминов фондового рынка.

Какой доход от выплат вы получите, также можно понять, посмотрев на дивидендную доходность. Она показывает, сколько вы получите денег на одну акцию и насколько это справедливо по отношению к цене. Показатель рассчитывается так: общий дивиденд на одну акцию за год делится на цену акции и умножается на 100. В итоге дивидендная доходность выражается тоже в процентах. Чем она больше — тем лучше. Обычно дивидендная доходность компаний варьируется от 2% до 12%.

•#дивиденды Ликвидность

Это то, насколько быстро вы можете купить или продать акцию компании по рыночной цене. Ликвидность бывает высокая, средняя и низкая. Чем выше — тем лучше. Если ликвидность низкая, вы можете попасть в ситуацию, когда захотите продать или купить акцию, но не сможете это сделать по выгодной цене и придется отдать больше денег.

Обычно низколиквидные акции — это акции так называемого третьего эшелона — небольших компаний, у которых низкий объем торгов, то есть инвесторы на бирже редко покупают и продают их бумаги. У акций первого эшелона — или как их еще называют «голубые фишки» — ликвидность высокая. Самые ликвидные акции обычно включаются в состав биржевых индексов

Потенциал роста акций

Если планируете зарабатывать не только на дивидендах, стоит обратить внимание на цену акций и потенциал их роста.

Прогнозы о том, насколько может вырасти акция, обычно делают инвест-дома и аналитики. Это еще называется target price (или целевая цена) — будущая стоимость бумаги, до которой вырастет цена за определенное время. Чаще всего измеряется в процентах. Например, компания Х сейчас стоит ₽800, а ее целевая цена через полгода — ₽1 тыс. Это значит, что через полгода цена может вырасти предположительно на ₽200, или 25%.       https://rt.plus.rbc.ru/",13:04,2023-01-07,LKOH
VASILIEV_MAKSIM,$LKOH что за ракета на 4135р ????😄😄😄,11:39,2023-01-07,LKOH
Mr.TINWIS,"Сделал Х7,28 (!) в 2022 году со старта торгов, не поймав ни одной ракеты🚀 и вывел все деньги со счета. 

Друзья, кто со мной недавно, то кратко в 2 словах, я - все еще начинающий трейдер, пусть и уже зарабатывающий.)   Мой путь в трейдинге начался 13 сентября 2021 года, со 100т рублей, к концу 2021 года я сделал 950т, а затем за один день спустил 25 процентов депозита (https://www.tinkoff.ru/invest/social/profile/Mr.TINWIS/5ca5641d-e7ee-4611-9835-88179f831cd8/) 🥲

Затем я принял фантастическое решение - куплю себе голубых фишек российского рынка ($SBER, $VTBR, $GAZP) и перееду на другого брокера, торговать Америку! Было огромное желание что-то изменить и я что-то изменил.) (https://www.tinkoff.ru/invest/social/profile/Mr.TINWIS/d6b1fb69-3c81-44db-8e2e-372048866f65/)

24 февраля я только докидывал деньги, чтобы не случилось МК, я вообще плохо реагирую на негативные новости нашей Родины, и в этот момент ни о каких шортах подумать не могу - я скорее думаю о том, как жить то дальше.) 🤔

После 24 февраля, до мая я не торговал вообще - депозит болтался, я много гулял и был деморализован. В мае месяце же решил - пора что-то делать дальше, а то совсем труба. 

К началу мая же я решил - пора что-то делать, но денег докидывать не буду. Премаркет $SPBE не существовал как класс, поэтому пришлось адаптироваться под $MOEX. Ну я и стал торговать на плечо от остатков разрушенного депозита.) 💸

20 дней стараний, +40т рублей прибыли и в конце месяца я все слил, когда $YNDX планомерно заливали до 1300. 

Снова неделя перерыва, снова ощущение бесполезности и так далее и снова решение торговать дальше - по копеечке, рубль к рублику, в общем, как бабушка говорила.))

За год, я пропустил все ракеты, которые только были, мимо меня пролетели дивиденды $GAZP (2 раза), дивиденды $LKOH, всевозможные дивгэпы, сообщения поляков о российской ракете. В общем, мне везло разве что не входить в них в другие стороны.)  Рынок парадоксален, на нем часто бывают ситуации, когда все торгуется наоборот, а после событий 11 января 2022 года я стал супер осторожным.  У меня есть коллега, в структуре выручки которого, 33-35 процентов уходит на убытки. В структуре моей выручки, убытки не более 3-4 процентов на годовой промежуток. Каждый из нас торгует по-своему, уверен и у вас есть свой какой-то стиль. 

Вы спросите, как сделать такой же результат? Торговать и сделать это частью своей жизни, торговать с телефона и инвестировать - не получится. Но это возможно.)   За год, в своем канале, я умудрился рассказать вам аж 2 шаблона ситуаций, которые могут гарантировано (с поправкой на значение этого слова в контексте биржи как таковой) принести вам денег, надеюсь и дальше такие будут приходить в голову и буду их вам писать. 

Я закончил торги на этом акаунте, провел последние сделки 28 декабря, оплатил все налоги, продал за исключением мелочи и пока история тут закрыта. 1 мая у меня будет доходность полного профиля около +400 процентов с начала года, но есть определенные решения, которые я принял, которые пока не позволят мне вернуться к торговле тут, может год спустя.)   За сделками, похожими на мои можете подглядывать тут - @NadyaScalp, кажется она в них что-то понимает.)

На Америке торги у другого брокера прошли значительно менее трагично и более стабильно, чем тут, но нет скриншотов - нет подтверждений.) Могу сказать одно, свою цель там я не довыполнил примерно на 6 процентов, а цель была очень большая. Но если в начале/середине года торговля амеканскими акциями приносила аж 70-80 процентов прибыли, то сейчас - 20-30 максимум. Надеюсь это как-то изменится и ликвидность все же вернется.

P.S. Как бы ни ругался на @Tinkoff_Investments, ребята молодцы, еще бы поддержку обучали понимать, что их спрашивают и отвечать по делу, так совсем хорошо было бы.)  
P.P.S. Повторить такой результат год к году - врядли. Все таки эффект низкой базы дает свои преимущества, когда у тебя депозит побольше - движения остаются те же, прибыль та же, проценты меньше.

#какиеторезультаты",10:00,2023-01-07,LKOH
YES_PROFIT,"#учу_в_пульсе 

А что если ""инвестировать"", следуя готовым торговым сигналам  #эксперимент
#отчетТСvip День 4.

На фондовом рынке прошла первая праздничная торговая неделя 2023 года 🎄🥂
Следуя готовым сигналам, мной приобретены:
🇷🇺
$YNDX цели 1900-1950-2000
$LKOH цели 4150-4200-4300-4500
$CHMF цели 900-920
$MOEX цели 98-100

Посмотрим, есть ли польза от такой торговли. Окупит ли прибыль от сделок затраты на платную подписку. И сколько заработаю я в итоге. Интересно? Наблюдай 🧐 😉

⛔ не является индивидуальной инвестиционной рекомендацией

@Tinkoff_Investments извините, а что не так в тексте, причина удалений? Каждый день наблюдаю массу таких постов в пульсе.",0:20,2023-01-07,LKOH
Shadson,"Итоги 2022.
5 января был ровно один год с момента начала инвестиций на ИИС. 

Итог года получился -0,22% от суммы собственных внесённых средств. 

Во многом такой результат связан с покупками в течение года на падающем рынке. Покупки были практически равномерными каждый месяц, не считая декабря. В декабре в связи с бОльшим притоком финансов / дивидендов было внесено больше и куплено акций соответственно больше. 

Наибольший минус по $MVID, $ALRS, $POLY 
Наибольший плюс по $LKOH, $ROSN, $TATNP 

Было усреднено много позиций по хорошим ценам. Учитывая, что вычет 13% по иис будет получен, в общем и целом, результатом доволен. 13% вычет не будет учтён в доходности прошлого года, так как это как дивиденды... Объявлены, но ещё не получены. Учтём результат в текущем, 2023 году. 

Всём финансовых успехов в новом 2023!",23:16,2023-01-06,LKOH
