login,post,posts_time,posts_dt,ticker
Sobolevskij,"$MGNT Я недавно начал играть на бирже. И кое какие моменты ещё не до конца понимаю. Подскажите пожалуйста , вот я хочу вывести N ную сумму со счета и мне пишут что вздымается налог.  С другого счета вывожу, ни о каком налоге речи нет. Скажите пожалуйста , это у меня при каждом выводе будут налог снимать или это разовое ? 
Буду очень признателен. 🧐",20:45,2023-01-11,MGNT
Finmentor,"🍏Магнит: новый драйвер роста!

Коллеги, добрый день!👨‍💻

Сегодня вышли хорошие новости по компании Магнит $MGNT!💥

❗️Компания планирует запустить в этом году новую сеть дискаунтеров, что усилит позиции Магнита в конкуренции с X5 Retail Group $FIVE!⚡️🔥

Цены и ассортимент будут отличаться от текущих магазинов ритейлера.🧮

Как можно заметить, сейчас в секторе продуктового ритейла происходит тенденция по развитию формата жестких дискаунтеров.🛒

В прошлом году X5 заявляла о планах ускоренной экспансии в этом сегменте с намерением стать лидером в формате, и со стороны Магнита логичным ответом стала активизация работы в том же направлении.🆒💫

Усиливающийся тренд на экономию потребителей заставляет крупных ритейлеров больше фокусироваться на формате дискаунтеров!🤓

Новый формат магазинов может стать важным драйвером роста для Магнита!📈👍

#магнит #five #идея #инвест_идея #рынок #акции #инвестиции #конкуренция #ритейл",16:35,2023-01-11,MGNT
5Partizan5,$MGNT осталось отбить 3%,16:23,2023-01-11,MGNT
6e3_naHuKu,$MGNT ❤️❤️❤️❤️🚀🚀🚀🫡🫡🫡🫡 ждал с начала декабря ракету,16:20,2023-01-11,MGNT
Hob83,"$MGNT Очень удобно, что можно открывать дополнительный брокерский счёт в одной системе!!! Как по мне, это когда хочешь добавить себе ещё бумагу которая у тебя уже есть, но не хочешь повышать свою среднюю которая была куплена ранее!!!",16:17,2023-01-11,MGNT
ARGWOT,"$MGNT 
✅В утреннем эфире ежедневной рубрики «забрать % в рамках дня»😉 была представлена на рассмотрение MGNT. Отработала в рамках дня и дала нам быстрый  +1,52% 😃

Кто следит за рубрикой и не упускает возможность забрать свой % в рамках дня, тот молодец, мои поздравления с профитом! 

 ✅ Подписывайтесь и заходите в гости, чтобы не упустить ничего важного💰💹

✅ Все тонкости и нюансы работы и обучению стратегии рассказываю в своем блоге😉",15:32,2023-01-11,MGNT
Natali_c,"Немного новостей, для тех кто не читал 😉

⚪️Казахстан получил от России устное одобрение на транспортировку своей нефти по магистральному нефтепроводу «Дружба» в Германию (министр энергетики Казахстана Болат Акчулаков).

⚪️Джо Байден заявил, что США, Канада и Мексика будут совместно искать рынки сбыта чистого водорода.

⚪️В 2022 году суммарный долг американских домохозяйств увеличился на 7,65% г/г до $  16,5 трлн (NerdWallet).

⚪️Хамовнический суд Москвы обратил в доход государства 92,4% акций ДВМП.

⚪️Консолидация Россетей и ФСК ЕЭС на базе последней завершена (ТАСС).

⚪️Акционеры Beluga Group на внеочередном общем собрании утвердили дивиденды за 9М22 в размере 75 руб. на акцию, что предполагает дивидендную доходность на уровне 2,6%.

⚪️Магнит $MGNT  может запустить новую сеть дискаунтеров (Коммерсант).

⚪️Apple $AAPL  планирует производить собственные экраны для своих устройств, чтобы снизить зависимость от таких конкурентов, как Samsung и LG (Bloomberg).Как проходят аукционы Минфина по размещению ОФЗ и какую информацию можно получить из его итогов расскажем в данном обзоре.
Продажа государственных долговых бумаг инвесторам может преследовать различные цели. За счет привлеченных средств покрывается дефицит бюджета, финансируются государственные инвестпрограммы и проекты.",15:31,2023-01-11,MGNT
13rusl,"$SBER $SBERP 
Акции Сбера обновили максимум за 9 месяцев

Обыкновенные акции Сбера выросли на 3,8% — до 148,2 руб. за бумагу на торгах Московской биржи по состоянию на 11:10 МСК. Это максимальное значение с 8 апреля 2022 года. Привилегированные бумаги банка подорожали на 3,4% — до 146,7 руб. за акцию.

По состоянию на 12:54 МСК рост обыкновенных акций скорректировался до 3%, а цена опустилась до 147,1 руб. Привилегированные бумаги дорожали на 2,7% — до 145,8 руб. за акцию. Оборот торгов по обыкновенным бумагам составил 10,48 млрд руб., а по привилегированным — 523,3 млн руб.

Спрос на бумаги Сбера вырос в ожидании предстоящей публикации отчетности банка, пишет РБК. В ноябре он вернулся к регулярному раскрытию информации по итогам каждого месяца после перерыва. Банк России разрешил российским банкам временно не раскрывать данные о показателях на своих сайтах, а также на портале ЦБ в марте 2022 года.

•$ROSN 
Трейдер Trafigura продал долю в связанном с «Роснефтью» НПЗ в Индии

Международный трейдер Trafigura продал долю в индийском НПЗ Nayara Energy, крупнейшим акционером которого является «Роснефть». Летом 2022 года на фоне западных санкций Trafigura вышла из мегапроекта «Роснефти» «Восток Ойл»

Trafigura Group продала 24,5% в индийской нефтеперерабатывающей компании Nayara Energy Limited, одним из крупнейших акционеров которой является «Роснефть» (владеет 49,13%), сообщила пресс-служба трейдера 11 января.

Согласно сообщению Trafigura, покупателем стала Hara Capital, входящая в группу Mareterra Group Holding со штаб-квартирой в Риме, которая преимущественно работает в Италии, Люксембурге, Франции, Испании, но постепенно расширяет свое присутствие за пределами Европы. Сумма сделки в сообщении не раскрывается.

•$MGNT 
«Магнит» планирует создать новую сеть дискаунтеров, сообщили «Коммерсанту» информированные источники. Один из них уточнил, что проработка концепции новой сети велась в 2022 году, в первом квартале 2023-го она может быть утверждена, после чего могут быть открыты первые магазины. Возглавит новую сеть Анжела Рябова, в ноябре 2022 года пришедшая в «Магнит» на должность директора формата дискаунтеров с поста главы красноярской ГК «Красный Яр».

Представитель «Магнита» сообщил, что сеть считает дискаунтер одним из самых перспективных форматов и будет наращивать присутствие в сегменте.

$HHR 
Kismet Ивана Таврина стала владельцем более 20% HeadHunter

Kismet Capital Group Ивана Таврина стала владельцем более 20% головной компании платформы HeadHunter. Это второй крупный интернет-актив в портфеле компании — после Avito, о приобретении которого она объявила прошлой осенью



💼Зарубежные акции:

•$INTC 
CES-2023. Intel и AMD представили новые производительные процессоры для ноутбуков

Intel и AMD на выставке электроники CES 2023 анонсировали множество высокопроизводительных мобильных процессоров.

Появление первых устройств на базе новых чипов от Intel и AMD ожидается в первой половине 2023 года.

•$1810 
Xiaomi представила пылесос для сбора и уничтожения пылевых клещей

Компания Xiaomi представила устройство MIJIA Mite Eliminator Pro, призванное собирать пылевых клещей и уничтожать их. Об этом сообщает портал Gizmochina.

Стоимость MIJIA Mite Eliminator Pro в китайских магазинах составляет 379 юаней (около 3,9 тыс. руб.).

❌Не ИИР

👉В рамках стратегии &Абсолютная величина  я переодически делаю ребалансировку портфеля, где мы удерживаем позиции от недели до месяца, в редких случаях и более. 
Вход в стратегию всегда актуален.
Добро пожаловать!

👉В рамках стратегии &Грош цена. На пенсию внукам мы удерживаем позиции более длительный период времени. Подходит для консервативных инвесторов. 
Добро пожаловать! 

👉 &Потенциальный отскок новая стратегия, закуп будет осуществлён 12.01.2023. Самая интересная стратегия, ""ловля падающих ножей"", сопровождается риском, возможны как повышенные потери, так и повышенная доходность. Рискнем? 

#прояви_себя_в_пульсе
#псвп",15:21,2023-01-11,MGNT
Puss,$MGNT Вот так бы каждый день росла акция хотя-бы по проценту-тогда есть надежда и на 5000 тысяч за бумагу. Но как говорится -это мечты) Для такого роста нужен хотя-бы не плохой годовой отчёт. А будет ли он?🤔,15:16,2023-01-11,MGNT
68nat,"$MGNT  ляяя, дождались роста 😁",14:32,2023-01-11,MGNT
