login,post,posts_time,posts_dt,ticker
IDEITOP,"Что подтверждают эти движения?

1. Никто из членов ФРС не ожидает/не считает необходимым понижение ставки в 2023 году. Уместно дальнейшее повышение ставки.
2.  Amazon $AMZN  уволит 18 000 сотрудников (6% от всего персонала).
Рецессия базовый сценарий?

Что $AAPL? идет к своей 200 EMA?
Должен пpитянуться к этому магниту . Ещё до 200 SMA -8% падения?

А что на этой неделе произошло с $MSFT кто, что отметит ?

🔑Проверяем идеи вместе - уникальный проект в Пульсе, получай БЕСПЛАТНО больше идей, обзоров и мнений раньше других:
https://www.tinkoff.ru/invest/social/profile/IDEITOP?utm_source=share",19:28,2023-01-08,MSFT
BigDaddy205,"Доброе утро!
Рубрика #зачашкойкофе

🔴 Эстония намерена первой в Европе передать замороженные активы РФ Украине. 

🔴 Тайвань ужесточил контроль над экспортом  продукции машиностроения и химии в РФ в Россию и Беларусь 

🔴 Китай приостанавливает масштабные инвестиции, направленные на создание индустрии чипов, способной конкурировать с США, поскольку общенациональное возрождение Covid напрягает экономику, занимающую второе место в мире, и финансы Пекина.    

🔴 Российский экспорт нефти упал до годового минимума на фоне эмбарго ЕС 

🟢 В Аргентине начался бум родильного туризма среди россиянок

🟢 Tesla $TSLA зарегистрировала новую торговую марку для производства электродвигателей для самолетов, лодок и многого другого - Electrek

🔴  Протокол заседания FOMC: Чиновники согласились, что снижение ставок не должно произойти в 2023 году

🔴 ФРС планирует повышение процентных ставок на нескольких заседаниях, пока инфляция не достигнет пика.

🟢  Кэти Вуд купила вчера 144 776 акций Tesla

🔴  McDonald’s $MCD собирается уйти из Казахстана, так как из-за санкций и нарушения цепочек поставок рестораны в республике не могут закупать мясо из России 

🟢  $MSFT Microsoft инвестирует в стартап по автономным грузоперевозкам Gatik

🟢 В Индонезии рассматривают подключение к платёжной системе «Мир»

🔴 Как считает ВОЗ, Китай занижает количество смертей от Covid-19

🔴 Dell $DELL намерена прекратить использование чипов, произведенных в Китае, к 2024 году

🔴 $AMZN CEO Amazon подтвердил, что компания сократит более 18 000 работников, больше, чем планировалось изначально (10 000 чел) 


😱 Биткоин 16 832$
💵 Доллар - 70,34₽ 
💶 Евро - 75,66₽
🛢 Нефть – 78,95$

🟢 VIX (22)  - 3,89%
🟢 S&P 500 (3 852) +0,75%
🟢 Nasdaq (10 458) +0,68%

Моя новая книга  про Технический анализ
https://www.litres.ru/bigdaddy205/tehnicheskiy-analiz-dlya-chaynikov/

Всем крутого дня!",9:32,2023-01-05,MSFT
Dengy_ne_problema,"🏆🇺🇸 Топ-10 акций от $JPM JPMorgan на 2023 год:

👉 Amazon $AMZN (по мнению банка акции вырастут на 51%)

👉 Bank of America $BAC (на 16%)

👉 Charles Schwab $SCHW (на 24%)

👉 Disney $DIS (на 51%)

👉 Halliburton $HAL (на 32%)

👉 Las Vegas Sands $LVS (на 11%)

👉 Microsoft $MSFT (на 14%)

👉 Target $TGT (на 32%)

👉 T-Mobile $TMUS (на 43%)

👉 Xenon Pharmaceuticals $XENE (на 39%)",8:38,2023-01-05,MSFT
InvestingNew,"Microsoft  $MSFT инвестирует в Gatik, стартап по автономному вождению.",8:35,2023-01-05,MSFT
13rusl,"$CVX 
Глава Chevron ожидает открытия новых нефтяных месторождений в США

Председатель совета директоров американской нефтегазовой корпорации Chevron Майк Вирт ожидает открытия новых нефтяных месторождений в США.

""Технологии позволяют вам вести добычу того, что раньше было недоступно. Это касается шельфов. Позитивным предметом остается глубоководный Мексиканский залив, где нам приходится бурить на глубине мили и более от уровня моря, а затем проходить еще шесть, семь, восемь миль под землю, находя большие-большие месторождения"", — сказал он в интервью телеканалу Блумберг.


$MCD 
Bloomberg: McDonald's планирует завершить деятельность в Казахстане

По словам собеседников агентства, причиной решения стали перебои в поставках мясной продукции из России.

""Хотя казахстанские предприятия не подпадают под действие санкций против Москвы, McDonald's запретил своему местному франчайзи закупать мясные котлеты у российских поставщиков"", - пишет Bloomberg.

При этом источники агентства пояснили, что франчайзи не мог закупать котлеты у местных или европейских поставщиков из-за более высоких цен и транспортных расходов.

$GOLD-US 
Золотодобытчик Barrick рассматривает Индонезию как возможное направление для геологоразведки

Геологи азиатско-тихоокеанского подразделения Barrick ищут месторождения вдоль обширного пояса минерализации, простирающегося от Пакистана до Папуа-Новой Гвинеи, рассказал в интервью Bloomberg глава золотодобытчика Марк Бристоу.

$MOEX 
Объем торгов на рынках Мосбиржи в 2022 году оказался рекордным

Совокупный объем торгов на рынках Московской биржи по итогам 2022 года составил рекордные 1,1 квадриллиона рублей, следует из данных крупнейшей российской торговой площадки.





✅Рынок акций США закрылся ростом, Dow Jones прибавил 0,40%

На момент закрытия на Нью-Йоркской фондовой бирже Dow Jones поднялся на 0,40%, индекс S&P 500 поднялся на 0,75%, индекс NASDAQ Composite поднялся на 0,69%.


👉В лидерах роста среди компонентов индекса Dow Jones по итогам сегодняшних торгов были акции $BA  Boeing Co (NYSE:BA), которые подорожали на 8,25 п. (4,22%), закрывшись на отметке в 203,64. 

•$CRM  
Котировки Salesforce Inc (NYSE:CRM) выросли на 4,81 п. (3,57%), завершив торги на уровне 139,59. 

•$INTC 
 Бумаги Intel Corporation (NASDAQ:INTC) выросли в цене на 0,95 п. (3,55%), закрывшись на отметке 27,68.

Лидерами падения стали акции $MSFT  Microsoft Corporation (NASDAQ:MSFT), цена которых упала на 10,48 п. (4,37%), завершив сессию на отметке 229,10. 

Акции $UNH  UnitedHealth Group Incorporated (NYSE:UNH) поднялись на 14,14 п. (2,73%), закрывшись на уровне 504,50, $HON  а Honeywell International Inc (NASDAQ:HON) снизились в цене на 4,26 п. (1,99%) и завершили торги на отметке 210,04.

👉В лидерах роста среди компонентов индекса S&P 500 по итогам сегодняшних торгов были акции Bath & Body Works Inc. ( $BBWI), которые подорожали на 10,51% до отметки 47,73, Carnival Corporation (NYSE:CCL), которые набрали 9,66%, закрывшись на уровне 8,74, а также акции $WBD  Warner Bros Discovery Inc (NASDAQ:WBD), которые повысились на 8,81%, завершив сессию на отметке 10,38.

Лидерами падения стали аакции $ANET  Arista Networks (NYSE:ANET), которые снизились в цене на 5,85%, закрывшись на отметке 113,84. Акции компании Microsoft Corporation (NASDAQ:MSFT) потеряли 4,37% и завершили сессию на уровне 229,10. Котировки Archer-Daniels-Midland Company (NYSE:ADM) снизились в цене на 3,64% до отметки 86,39.

❌Не ИИР
•В рамках стратегии &Абсолютная величина я переодически делаю ребалансировку портфеля, где мы удерживаем позиции от недели до месяца, иногда и более.  Добро пожаловать!",2:54,2023-01-05,MSFT
TAtrader,"Всем привет!
Вчера индекс SP500 вырос свечой на 0.35%, а с учетом пре маркета рост был на 0%. Индекс сегодня снова оттолкнулся и пошел вниз от своей 20 EMA. 20 EMA это слабая скользящая, поэтому если цена толкается вниз от слабой скользящей, то это говорит о слабости цены.

В моменте SP500 и вся американская экономика рисовала бычьи свечи, но затем пошло падение и на закрытии индексы нарисовали некоторые свечи неопределенности, то есть силы покупателей и продавцов сейчас приблизительно равны. Пока очень странная ситуация. Все кричат о падение всей экономики, а рынок пока не сильно валится. Все вы слышали, про то что рынок всегда ходит против толпы, поэтому интересно, что будет далее.

Я буду открывать ЛОНГ только после того, как SP500 закроется выше 100 EMA, то есть выше уровня 3910. Также важно смотреть на индекс Dow Jones у которого не получилось закрыться выше 20 EMA. NASDAQ - 100 оставляет какие то надежды на возвращение в медвежий клин, рисуя бычью свечу в моменте.

Я думаю будет так:
Акции $AAPL дойдут до уровня $120, а затем уже будет какой либо краткосрочный рост. Акции $AAPL дойдут до $120, так как там находится уровень поддержки 200 EMA на недельном графике. 

 $BABA пробила вверх сильнейший уровень сопротивления $100. То есть цена имеет большое количество покупателей, раз уж они готовы покупать акции у всех уровней сопротивления. Вообще весь Китай сейчас смотрится интересно, так как например индекс Hang Seng, пробил вверх все свои скользящие, под которыми цена находилась 570 дней. Это показывает большую силу покупателей на Китайские акции сейчас.

$TSLA пытается как удержаться за воздух, но долго не протянет, поэтому при любом незначительном негативе будет тут же распродана до $100.

$JD цена красиво пробила вверх бычий флаг и закрепилась выше уровня поддержки, в среднем сроке цена явно будет расти. Покупать ее конечно уже поздновато, но шортить ее тоже не надо, так как цена может пойти сейчас в абсолютно любом непредсказуемом для нас направлении.

$TAL после сильного роста отдохнул и закрылся выше уровня 10 ema и цена находится выше абсолютно всех скользящих, поэтов может подрасти до локальнооо максимума.

$BA безумно сумасшедшая акция, которая летит вверх несмотря ни на что. Но покупать ее сейчас не стоит и продавать тоже не стоит.

$MSFT распродали на негативной новости и теперь цена болтается в воздухе без уровней. Интересно понаблюдать за ней.

Пишите ваши мысли в комментарии!
Всем удачи!
* на графике дневные свечи",0:28,2023-01-05,MSFT
Mike.Levin,$MSFT завтра послезавтра можно на отскок взять. А так точно ниже 200 поторгуется какое то время.,23:36,2023-01-04,MSFT
koch.fund,"$MSFT 
- Увеличиваем количество акций в портфелях на 35,000 акций
- Мы не ожидаем значительного снижения earnings в ближайшие 2 квартала, который наблюдают другие аналитики
- При достижении 200 pps будем увеличивать пакет и делать double",22:49,2023-01-04,MSFT
VeronikaCastro,"💸Свободный денежный поток

🕵Коэффициент Р/FCF (Price/Free Cash Flow, FCF, Цена/Свободный денежный поток) – соотношение капитализации и свободного денежного потока компании, позволяет анализировать и сравнивать рыночную стоимость акции и денежных средств, которые остаются в распоряжении бизнеса и могут быть направлены на выплату дивидендов, программу выкупа акций, погашение долговых обязательств, дальнейшее развитие или на ещё какие-либо не совсем ясные цели, да, Сургут?

Вычтя из операционного денежного потока (Operational Cash Flow, OCF) величину капитальных затрат (Capital Expenditures, CAPEX), мы узнаем, сколько денег остается в распоряжении компании после вычета необходимых затрат на ведение и развитие бизнеса. Это и есть свободный денежный поток

FCF, по сравнению с показателями прибыли, более прозрачен, показывая потенциал компании. Некоторые компании сообщают о высокой прибыли, но не могут превратить ее в наличные деньги

Если компания не может генерировать финансы внутри себя, ей придется обращаться за поддержкой к внешним инвесторам, что приведет либо к размыванию акций, либо к увеличению долга

Другими словами, FCF измеряет способность компании производить то, что больше всего волнует инвесторов: денежные средства, которые можно распределять по своему усмотрению

Положительная величина Free Cash Flow — говорит о том, что компания получает больше, чем тратит, то есть создает для своих акционеров добавленную стоимость. Для инвестора это важный момент. Потому как только когда бизнес генерирует достаточно средств, можно рассчитывать на его рост, увеличение цены его акций и получение дивидендов

👨‍🏫Как и в случае с соотношением P/Е, чем ниже значение P/FCF, тем лучше

Более низкое P/FCF: компания недооценена, а ее акции относительно дешёвые

Более высокое значение P/FCF: компания переоценена

Инвесторы часто ищут компании, у которых есть высокий или растущий свободный денежный поток, но низкая цена акций

❗Обратите внимание

Следует понимать, что компании могут манипулировать своим свободным денежным потоком, например, за счет отсрочки оплаты счетов или покупки товарно-материальных ценностей (чтобы сохранить денежные средства)

Поэтому, более объективные результаты даёт непосредственное сравнение данного показателя для различных компаний принадлежащих к одной и той же отрасли и включение в анализ дополнительных мультипликаторов

📝Итоги

Компании со значительным свободным денежным потоком выглядят привлекательно из-за многообещающего будущего. В сочетании с низкой ценой акций можно сделать хорошие инвестиции в подобные активы. Но как всегда, мультипликаторы могут помочь лишь отобрать интересные активы среди тысяч других. Перед покупкой отобранные компании надо рассмотреть максимально тщательно не только по финансовым коэффициентам

Ниже привожу пример поверхностного анализа по отраслям с помощью классического P/E, рассмотренного P/FCF и PEG* - мультипликатор ожидаемого роста прибыли
*разобран на Канале

              P/FCF        P/E        PEG
$AMD     30.3        38.4      2.60
$INTC     15.8        8.25        -
$NVDA   79.5        60.9      2.86

Интел выглядит привлекательно по первым двум показателям, но роста прибыли аналитики не ждут. AMD менее перекуплен, чем NVDA, но показатели обеих компаний в космосе

                P/FCF        P/E      PEG
$AAPL    20.6         20.5     2.35
$CRM      24.2         487     31.6
$MSFT    40.1         25.8    1.98

Почему AAPL фаворит Баффетта становится весьма очевидным даже через призму стартовых мультипликаторов

*всё указанные мультипликаторы, что значат, как понимать и где смотреть - детально и простым языком разобраны в постах на Канале

⏏️Заходи в профиль и подписывайся, чтобы получать актуальную информацию",20:58,2023-01-04,MSFT
Falcon,"За три первых торговых сессии этого года каждый день в бездну летит один из MAANGT. 
Вчера это были Apple и Tesla, сегодня это Microsoft.

Акции  $MSFT сегодня упали почти на 5% после того, как аналитики UBS заявили, что компания сталкивается с проблемами при разработке облачных технологий. 

На основании этих умозаключений аналитик UBS понизил рейтинг Microsoft с «покупать» до «нейтрального», написав, что последний раунд выездных проверок бизнеса снизил доверие банка к акциям. Отдельно аналитик указал на проблемы, связанные с Azure и Office 365.

🔸Office 365 может столкнуться с более медленным ростом доходов в 2023 году, 
🔸 Azure переживает «резкое замедление роста», которое может быть хуже в 2023 и 2024 годах, чем ожидают инвесторы.",20:54,2023-01-04,MSFT
