login,post,posts_time,posts_dt,ticker
NEWS_ROCKET,"#ЧТО_ДУМАЮТ_АНАЛИТИКИ
$DOCU
Jefferies
Brent Thill 
Action - upgraded (buy)
Price target - 70
Date - 2023-01-05

$ORCL
Jefferies
Brent Thill 
Action - upgraded (buy)
Price target - 105
Date - 2023-01-05

$TEAM
Jefferies
Brent Thill 
Action - upgraded (buy)
Price target - 150
Date - 2023-01-05

$CHTR
Truist Financial
Gregory P Miller ⭐⭐⭐⭐
Action - upgraded (buy)
Price target - 550
Date - 2023-01-05

$CMCSA
Truist Financial
Gregory P Miller ⭐⭐⭐⭐
Action - upgraded (buy)
Price target - 50
Date - 2023-01-05

Будь вкурсе - #NEWS_ROCKET
Пост создан автоматически.",15:43,2023-01-05,ORCL
Tonigood,"Ключевые события недели: заседания Банка России, ФРС, ЕЦБ, инфляция в США, потолок цен на газ


📰В России
Заседание Банка России
Российский ЦБ в пятницу проведет последнее заседание в уходящем году. Эксперты изданий Известия и Ведомости сделали консенсус-прогноз и считают, что регулятор оставит ставку на прежнем уровне в 7,5%. Умеренного снижения можно ожидать в меньшей степени, а сценарий повышения видится маловероятным. Доходности гособлигаций на участке кривой до 5 лет снизились относительно октября. Правда, в ЦБ отмечают исчерпание разовых дезинфляционных факторов и усиление проинфляционных, связанных с ситуацией на рынке труда.

🤨Потолок цен на газ
Запрет на поставки сырой нефти в ЕС и потолок цен на нефть из РФ вступили в силу с 5 декабря. Установление потолка цен по российскому газу также в повестке: 13 декабря пройдет заседание Совета министров энергетики ЕС по данному вопросу. На саммите ЕС 15 декабря будут обсуждаться в том числе и вопросы энергетики в регионе.

🛢️Запрет на поставки сырой  нефти в ЕС и потолок цен на нефть из РФ вступили в силу с 5 декабря. Установление потолка цен по российскому газу также в повестке: 13 декабря пройдет заседание Совета министров энергетики ЕС по данному вопросу. На саммите ЕС 15 декабря будут обсуждаться в том числе и вопросы энергетики в регионе.

🔥IPO Whoosh
14 декабря на $MOEX  Московской бирже ожидается начало торгов акциями лидера рынка кикшеринга в России — Whoosh. С 5 по 13 декабря проходит сбор заявок в рамках размещения. Для IPO компания зарегистрировала допвыпуск из 50 млн обыкновенных акций номиналом 0,01 руб. каждая. Планируется и предложение акций нынешними акционерами. Ценовой диапазон установлен в размере 185–225 руб. за обыкновенную акцию.

Корпоративные события
• В среду пройдут дивидендные отсечки по Т+2 в акциях $PHOR, ТРК-ап, $FEES  Кубань, $AQUA 
• В четверг $AFKS   опубликует финансовые результаты по МСФО за III квартал 2022 г.

В мире
Заседания ФРС, ЕЦБ, Банка Англии
Свои декабрьские заседания проведут на неделе и регуляторы США, еврозоны, Великобритании. В большей степени инвесторов интересует решение американского центробанка, который вероятно пойдет на снижение темпов подъема ставки с 75 б.п. до 50 б.п. Федрезерв огласит свое решение в среду, а ЕЦБ и Банк Англии — в четверг.

Отчеты компаний
• 12.12.2022 $ORCL 
• 14.12.2022 $LEN 
• 15.12.2022 $ADBE 
• 16.12.2022 $ACN  
• 16.12.2022 $DRI 

Инфляция в США
Отчет по динамике потребительских цен за ноябрь будет предвосхищать решение Федрезерва, поскольку выйдет на день раньше, 13 декабря. А реакция на него может быть более существенной, чем на решения регулятора, если данные будут значительно расходиться с прогнозными оценками.

🛢️Нефтяные отчеты 
На динамику нефтяных котировок могут оказать влияние данные из месячных отчетов ОПЕК (13 декабря) и МЭА (14 декабря). Также в понедельник EIA представит месячный релиз Drilling Productivity Report. Нефть опустилась в цене на минимумы 2022 г., и сейчас чувствительность к любой новой информации может быть высокой.
#новости #пульс #нефть #отчеты #цб #фрс",10:39,2022-12-12,ORCL
vmtrading,"Акции, на которые следует обратить внимание сегодня!

1) $ORCL

Отчёт в 00:05 по Москве. 

2) $VTBR

Отказ от выплаты доходности по ряду облигаций - очень негативный фактор для госбанка. Постепенно вниз бумагу будут тянуть. 

3) $COIN

Закрытие возле исторического минимума. Очень интересно, будут ли откупать. Иначе дна в бумаге нет. 

————————————————

Сегодня #простымисловами вечером",10:22,2022-12-12,ORCL
ON_FLEEK_investing,"☕️ Доллар вырос к корзине других валют, а акции продолжили снижение в Азии в начале ключевой для рынков недели, когда решения по процентным ставкам должны будут принять Федеральная резервная система (в среду) и Европейский центральный банк (в четверг). На этой неделе все внимание будет приковано к публикуемым во вторник данным по потребительской инфляции в США в преддверии заседания ФРС в среду. 

🧐 Эта неделя с точки зрения сезонности должна быть слабой (choppy market), однако на следующей уже начинается период Санта-Клаус ралли.  

🇨🇳 Быстрое распространение случаев Covid в Китае добавило беспокойства: гонконгский индекс Hang Seng упал примерно на -2%. Китайские официальные лица продолжали преуменьшать риски Covid-19 по мере ослабления ограничений, а главный медицинский советник заявил, что уровень смертности от омикронного варианта вируса соответствует гриппу. ""Смертность от омикрон составляет около 0,1%, как и от обычного гриппа, и инфекция редко достигает легких"", цитирует Ч. Наньшань в интервью государственному информационному агентству Синьхуа. По его словам, большинство людей выздоравливают в течение 7-10 дней. 

 🇷🇺 На российском рынке на прошлой неделе продолжилось боковое движение, берущее свое начало аж с первых чисел ноября. Слабость западных площадок, а также ощутимое снижение нефтяных цен пока не позволяют выйти вверх из широкого коридора по индексу Мосбиржи. С другой стороны, даже в этих условиях наблюдается устойчивость спроса на бумаги и готовность игроков рынка выкупать просадки, что может сигнализировать о чувствительности рынка к притокам средств от предстоящих дивидендных выплат.

Что интересного:  
- Акционеры Алроса $ALRS могут не рассчитывать на дивиденды за 2022 год, судя по всему. Коммерсантъ (https://www.kommersant.ru/doc/5719100): ""НДПИ для Алросы может быть повышен не на 19 млрд руб., а на 41 млрд руб"".
- НЛМК $NLMK собирается заплатить дивиденды (информация не для распространения среди Белоусовых😁) за 9м22 в размере 2,6 руб. на акцию, что позитивно как для компании, так и для всего сектора черной металлургии. Мистер рынок точно не рассчитывал на дивиденды от металлургов за этот год.
- Сегежа $SGZH выпустила ожидаемо слабый отчет - западные рынки сбыта отвалились, хотя понемногу перенаправляют в АТР, крепкий рубль бьет по экспортной выручке, долг/OIBDA - уже высокий. Думаю, логично им с дивидендами повременить. Акцию следует рассматривать для добавления в портфель уже после следующего квартального отчета, на мой взгляд. 

📇 Ключевые корпоративные события и отчеты дня (время МСК):
$COUP - Coupa Software - 00:00 
$ORCL - Oracle Corp. - 00:05 


❤️ Лайкни, подпишись )",9:56,2022-12-12,ORCL
BigDaddy205,"​​Доброе утро!
Рубрика #зачашкойкофе

🟢 $WMT Walmart предложит услуги Buy-Now Pay-Later (BNPL) (покупай сейчас, плати позже) через свое финтех-предприятие One, начиная со следующего года

🔴 Федеральная торговая комиссия США потребовала заблокировать сделку по покупке Microsoft $MSFT компании Activision Blizzard $ATVI, производителя игр World of Warcraft, Diablo, Overwatch и Call of Duty.

🟢 Федеральная торговая комиссия США заявила, что долгожданная игра Elder Scrolls VI от издателя видеоигр ZeniMax Media будет эксклюзивной для продуктов Microsoft.

🟢 Казахстанские банки получили от американского OFAC разрешение на осуществление операций по платежным картам российской системы «Мир».

🔴 Tesla $TSLA приостановит производство на заводе в Китае в этом месяце.

🔴 Казначей штата Северная Каролина призывает генерального директора $BLK Blackrock inc Ларри Финка уйти в отставку

🔴 $AVGO Broadcom сталкивается с полномасштабным антимонопольным расследованием ЕС в связи со сделкой Vmware на $61 млрд

🔴 Gillette, Old Spice, Colgate, Nivea и другие бренды шампуней, зубных паст, дезодорантов и средств для бритья подорожают на 35%. Правительство РФ ввело пошлину на ввоз предметов личной гигиены.

🟢 Air India близка к подписанию заказа на 150 самолетов $BA Boeing 737 Max

🔴 Маск заявляет, что Twitter $TWTR вмешался в выборы в США в 2020 году

🟢 Маск заявил, что Twitter работает над обновлением, благодаря которому пользователи смогут узнать, подвергались ли они теневой блокировке

🔴 Поставщик частных самолетов подает в суд на Twitter за якобы отказ платить за полеты

🟢 Продажа подписки Twitter Blue, которая позволяет аккаунтам получить галочку верификации в Twitter, будет возобновлена 12 декабря

🔴 США проверяют основателя FTX на предмет мошенничества, изучают денежные потоки на Багамы; объем расследования включает переводы во время банкротства

🟢 Банк России на заседании 16 декабря снова оставит ключевую ставку на уровне 7,5%, считают эксперты.

🔴 IKEA отказалась выплатить компенсации 510 работникам двух заводов в России

🔴 Из-за санкций и массового истребления норок в Дании производители шуб в России столкнулись с нехваткой меха и ростом цен на сырье

😱 Биткоин 16 939,30$
💵 Доллар - 62,3813₽ 
💶 Евро - 65,8407₽
🛢 Нефть –  76,50$

🔴 VIX +0,12%
🔴 S&P 500 -0,11%
🔴 Nasdaq 100 -0,16%

❗️Сегодня отчёты

$COUP - Coupa Software 
$ORCL - Oracle Corp.",9:40,2022-12-12,ORCL
DnevnikTreidera,"Доброе утро ☕️ 

🇺🇸 снижается 📉
🇪🇺 снижается 📉
🇨🇳 снижается 📉
🛢 около 0
🌕 снижается 📉
🇷🇺 жду снижение 📉


🌍 Закрылись отлично для шорта, жду скорее  продолжение негативного движения.
Утром все рынке в негативе 🔥. 


📆 #событияДня

важных событий нет
  
      
👉 Отчёты 🇺🇸
🌙
💻 $COUP 00:00 💛
☁️ $ORCL 00:05 💛

👉 Отчёты 🇷🇺 
-",9:37,2022-12-12,ORCL
SpeedyRacer,"👨‍💻Ожидаемые события на 12 декабря

В России 🇷🇺 

$NLMK Совет директоров рекомендовал акционерам рассмотреть выплату дивидендов за 9 месяцев 2022 года в размере 2,6 рублей на одну акцию.

Окончательное решение о выплате будет принято на внеочередном общем собрании акционеров, которое состоится 31 декабря 2022 года.

$RUAL  
Заводы Русала за 11 месяцев 2022 г увеличили экспорт алюминия на 21% - данные РЖД

🌎 В мире

📑Отчеты представят:

•$ORCL Oracle — прогноз EPS: 1,18 💵 (после закрытия)
•$COUP Coupa Software — прогноз EPS: 0,1💵 (после закрытия)

📊События и статистика:
 
🎏В Брюсселе состоится заседание Совета ЕС по иностранным делам, на котором могут быть приняты два новых пакета европейских санкций в отношении России и Ирана.

🇬🇧Великобритания

🕰 10:00 мск - Промышленное производство, м/м - Октябрь Прогноз: 0,1% Предыдущее значение: 0,2%

10:00 мск - ВВП - 3 кв. Прогноз: -0,2% Предыдущее значение: 0,2%

🇺🇸США

⏰ 18:00 мск - Отчет ФРБ Нью-Йорка по инфляционным ожиданиям потребителей

21:00 мск - EIA опубликует месячный отчет Drilling Productivity Report

#пульс #новости #отчеты #учу_в_пульсе #прояви_себя__в_пульсе",9:36,2022-12-12,ORCL
EnInvs,"На этой неделе ожидаются отчетности по компаниям:

2022-12-12, до открытия
UTI Universal Technical Institute, AVYA Avaya

2022-12-12, после закрытия
$ORCL Oracle, COUP Coupa Software, FLNC Fluence Energy, Inc., MITK Mitek Systems, BLBD Blue Bird Corporation

2022-12-13, до открытия
CNM Core & Main, Inc., PLAB Photronics, VNCE Vince

2022-12-13, после закрытия
$ABM ABM Industries, PHX PHX Minerals, CSBR Champions Oncology, AXR AMREP Corporation, ZDGE Zedge

2022-12-14, до открытия
WEBR Weber Inc., UXIN Uxin Limited

2022-12-14, после закрытия
$LEN Lennar, NDSN Nordson, RICK RCI Hospitality, CTXR Citius Pharmaceuticals, CLSK CleanSpark

2022-12-15, до открытия
JBL Jabil, LIVE Live Ventures

2022-12-15, после закрытия
$ADBE Adobe, SCHL Scholastic, NX Quanex Building Products Corporation, UBA Urstadt Biddle Properties, TRIB Trinity Biotech plc

2022-12-16, до открытия
$ACN Accenture, DRI Darden Restaurants, WGO Winnebago Industries, PIXY ShiftPixy",2:39,2022-12-12,ORCL
DnevnikTreidera,"📋 #планынанеделю

👉🏼 план прошлой недели
📺 видео с разбором рынка


💹 $/₽ жду небольшое снижение / боковик. Ближе к НГ рост до 64.

🌕 золото жду откат / снижение. $GDH3

🛢 нефть падаем без отскока 😃 вижу большинство не рады, хотя нефтянку советовал шортить давно.  Отскок назревает, но дальше ниже к 65-60.
💨 газ шорт закрыт в +128%, пока без позиций. Ещё немного вверх и буду смотреть на новый шорт.

🇷🇺 
Жду продолжение снижения, важный уровень 2160, но могут томить минимум до экспирации 15 декабря или даже до после НГ.

🇺🇸 
Многие ждут позитива на инфляции и выступлении ФРС. До недавнего я и сам думал скорее о позитиве на статистике. Но пока график говорит о снижении, а он редко, очень редко ошибается.

🇨🇳 
Перегреты, чем выше пойдем, тем отчетливее откат. Жду на неделе точки для открытия шорта.


📊 #отчеты
$ORCL скорее лонгово, а как поднимут в шорт.


👉 Отчёты 🇺🇸
👉 Отчёты 🇷🇺 

⚠️ напоминаю, что отчёты это всегда риск!

⚠️ Это моё мнение и оно может не совпадать с Вашим 😎",22:11,2022-12-11,ORCL
ALL_TIME_TRADING,"Сезон корпоративных отчётов за 3кв2022 в #США 🇺🇸 подходит к концу  

На предстоящей неделе Нас снова ждут отчёты технологических гигантов, среди которых АТТ выделяет $ORCL, $ADBE и консалтингового гиганта $ACN 👀

А чьи отчёты ждёте Вы❓

Заходите в профиль и подписывайтесь, чтобы получать больше идей, обзоров и мнений раньше других‼️

#Новости #новичкам #обзор #прогноз #рынок #акции #отчет #аналитика",18:05,2022-12-11,ORCL
