login,post,posts_time,posts_dt,ticker
Tim_Lamb,"$POLY Пока золото достигает восьми месячного максимума, Polymetal делает вид что его это не касается. Учитывая сильный рост интереса к фьючерсам на золото, а так же повышение ликвидности, так мы скоро увидим 2000$ за тройскую унцию.
Интерес вряд ли пропадёт, пока будет расти инфляция.
Полиметалл сильно поджат к психологическому уровню, который он уже тестировал в сентябре. Расти котировкам компании не дают фундаментальные трудности, но компания всё делает для своего восстановления.
Риск конечно есть, но без него не бывает и прибыли. 
Те кто давно сидит в этих бумагах и находится в глубокой просадке, сейчас самое время усредниться. Дальнейший рост золота безусловно сыграет триггером и продавит психологическую зону 400. 
Тем более на графике видно что его хорошо откупили и держать будут долго.
Рынок покажет, как оно будет.

Не является ИИР.",20:42,2023-01-11,POLY
SergeyFedotov,"$POLY дорогой, давайка на 350 сходи потом уж посмотрим что с тобой делать",11:35,2023-01-11,POLY
13rusl,"•$MGNT 
Один из крупнейших в РФ продовольственных ритейлеров Магнит 
MGNT планирует создать новую сеть дискаунтеров, пишет газета Коммерсантъ со ссылкой на два источника, слышавших об этом проекте.

По словам одного из источников газеты, проработка концепции новой сети началась в 2022 году, в первом квартале этого года она может быть утверждена, после чего планируется открыть первые магазины. Он уточнил, что руководителем новой сети должна стать Анжела Рябова, которая в ноябре 2022 года пришла в Магнит на должность директора формата дискаунтеров, а до этого возглавляла сибирскую ГК Красный Яр.

""Мы считаем дискаунтеры одним из самых перспективных форматов для развития, поэтому будем активно наращивать свое присутствие в этом сегменте"", - сообщила пресс-служба Магнита на запрос Рейтер.

•$PLZL $POLY 
Золото умеренно дорожает перед статистикой по инфляции в США

Цена на золото в среду утром умеренно растет, следует из данных торгов. В четверг инвесторы ожидают статистику по инфляции в США, которая может повлиять на курс доллара и котировки драгоценного металла.

По состоянию на 7.55 мск цена февральского фьючерса на золото на нью-йоркской бирже Comex росла на 4,75 доллара, или на 0,25% - до 1 881,25 доллара за тройскую унцию. Мартовский фьючерс на серебро дорожал на 0,49% - до 23,782 доллара за унцию.

В четверг будут опубликованы данные по динамике потребительских цен в США в декабре. Аналитики прогнозируют замедление годовой инфляции до 6,5% с 7,1% месяцем ранее. Таким образом, декабрь может стать шестым месяцем снижения инфляции после пика почти в 9% в июне прошлого года. В то же время инфляция остается заметно выше целевых 2%.

Статистика по потребительским ценам влияет на политику Федеральной резервной системы (ФРС) США. Регулятор за прошлый год на фоне высокой инфляции поднимал ставку семь раз, в последний раз в декабре - на 50 базисных пунктов. По данным CME Group, в феврале 79,7% экспертов ждут нового повышения учетной ставки, но уже на 25 базисных пунктов - до 4,5-4,75% годовых.

Золото чувствительно к сигналам ФРС и макростатистике из США, поскольку это отражается на курсе доллара, от которого зависит стоимость драгоценного металла. ""Ястребиные"" сигналы традиционно способствуют удорожанию доллара, что делает золото менее доступным для покупки в другой валюте и сдерживает спрос.

•$GAZP 
""Газпром"" подает газ через Украину в подтвержденном украинской стороной объеме через газоизмерительную станцию (ГИС) ""Суджа"" — 35,5 миллиона кубометров на 11 января на ГИС ""Сохрановка"" заявка снова отклонена, сообщил официальный представитель российской компании Сергей Куприянов.

•$MOEX 
Индекс Мосбиржи к 10.05 мск растет на 0,03%, до 2160,09 пункта, долларовый индекс РТС снижается на 0,04%, до 974,09 пункта. На открытии торгов индекс Мосбиржи терял 0,03%.

•$ROSN 
Акции ""Роснефти"" падают на 4,65%, до 349,7 рубля на дивидендной отсечке. Максимально бумаги теряли 5,22%, опускаясь до 347,6 рубля.

•$TATN 
""Татнефть"" с 1 января повысила зарплаты сотрудникам выше плана, на 12%

В компании напомнили, что в прошлом году индексация зарплат в среднем по ""Татнефти"" составила 10%.


💵Валюта:

•$USDRUB $CNYRUB 
Рубль перешел к росту: доллар по 69,7 руб, юань - 10,26 руб

Рубль поздним утром отыграл потери к доллару, евро и юаню после снижения на старте торгов и перешел к росту: иностранные валюты торгуются по 69,6 рубля, 74,6 рубля и 10,265 рубля соответственно, следует из данных Московской биржи.

Курс доллара расчетами ""завтра"" на 10.52 мск снижался на 19 копеек - до 69,61 рубля, юаня - на 3 копейки, до 10,25 рубля, евро - на 30 копеек, до 74,6 рубля.

❌Не ИИР

👉В рамках стратегии &Абсолютная величина 
Переодически делаю ребалансировку портфеля, где мы удерживаем позиции от недели до месяца, в редких случаях и более. 
Вход в стратегию всегда актуален.
Добро пожаловать!

👉В рамках стратегии &Грош цена. На пенсию внукам  мы удерживаем позиции более длительный период времени. Подходит для консервативных инвесторов. 


#псвп",11:25,2023-01-11,POLY
SeryiInv,$POLY Глядя на эту бумагу анекдот про троллейбус вспоминается . Пока не отвяжут не полетит.,10:57,2023-01-11,POLY
Investor_samou4ka,"$POLY да не закрепимся мы выше 380, пока все большие кошельки не зайдут по низам. Не зря такой долгий боковик. Но как только - так сразу в другую галактику на сверхскорости улетим🤗",10:50,2023-01-11,POLY
S1F0,"$POLY мне снятся деньги, просыпаюсь уже голодным",10:50,2023-01-11,POLY
casper37,$POLY какая гадина такие плиты ставит😡,10:49,2023-01-11,POLY
Ha_KoJleHu_OJleHu,$POLY хочешь не хочешь а в ⬆️ за 400 ты пойдешь ска! Я не выйду… НЕВЫЙДУ!!!,10:45,2023-01-11,POLY
SeryiInv,$POLY Ну вот 380потрогали и опять вниз что-ли?,10:42,2023-01-11,POLY
qweq,"$SBER бычий флаг отработали. 
$POLY подруга вставай, родина мать зовёт.",10:41,2023-01-11,POLY
Timon77,"$POLY мне скоро 380 во сне сниться будет, пробей ты уже этот потолок скрипучий",10:35,2023-01-11,POLY
vladovchinnikov,$POLY Мистика,10:10,2023-01-11,POLY
Vladosikis,$POLY плохая девочка😡,10:09,2023-01-11,POLY
XoM9l40k,"$POLY в 380 упирается и отскакивает, выше видимо робот не даёт",10:09,2023-01-11,POLY
Vladosikis,$POLY офойойой какая молодец,10:00,2023-01-11,POLY
Crash05,$POLY скачок или падение ? На открытие,9:57,2023-01-11,POLY
NataliaBaffetovna,"🏛 Дивиденды и структура компаний индекса Мосбиржи $EQMX

Всего в индекс Мосбиржи пока еще входят 37 компаний.
Первые 4 компании занимают 47,74%. Также нефтегазовый сектор занимает целых 43,49% индекса. 

Прогнозируемая дивидендная доходность индекса в ближайшие 12 месяцев равна 8,16%. В нормальное время обычно 27 компаний индекса платят дивиденды, сейчас ожидаются выплаты в ближайшие 12 мес от 19 компаний.

💰Компании, которые в ближайшие 12 мес способны выплатить дивиденды выше 10% годовых:
⛽️Лукойл $LKOH, 💿Норникель $GMKN, ⛽️Татнефть $TATN, 🌾Фосагро $PHOR, 📱МТС $MTSS, ⛽️Транснефть $TRNFP, 🚂Globaltrans $GLTR, 📱Ростелеком $RTKM — обратите внимание, это мой прогноз именно на ближайшие 12 мес, а не на одну ближайшую выплату.  

🇨🇾Компании из индекса, которые зарегистрированы не в РФ: 📱Yandex $YNDX, 🏦TCS Group $TCSG, 📀Polymetal $POLY, 🍏X5 Retail $FIVE, 🍏Fix Price, 📦OZON, 📱VK, 🚂Globaltrans.

Разберем, что находится в таблице:
Первый столбик – название – зеленым отмечены компании, которые по прогнозу выплатят более 10% годовых дивидендами.
Второй столбик – вес – это доля компаний в индексе Мосбиржи.
Третий столбик – цена – по состоянию на закрытие 11.01.2023.
Четвертый столбик – дивиденды – БУДЬТЕ ВНИМАТЕЛЬНЫ, ЭТО ПРОГНОЗИРУЕМЫЕ ДИВИДЕНДЫ в рублях на акцию или ДР, которые компания выплатит в ближайшие 12 мес.
Пятый столбик – доход 12 мес – это прогнозируемая дивидендная доходность компании в процентах в ближайшие 12 мес.
Шестой столбик – вклад – это дивидендный вклад компаний в дивидендную доходность индекса Мосбиржи. 

Также произведен подсчет прогнозируемой дивидендной доходности секторов индекса Мосбиржи.

#Портфель #ИндексМосбиржи #Дивиденды",9:49,2023-01-11,POLY
Ganster020,"$POLY тем временем золото уже 1883, что от вчерашнего плюс 5.5 пунктов",8:53,2023-01-11,POLY
Fantazeir,"$POLY я может покажусь наивным,но всё-таки осмелюсь заявить. По некоторым подсчётам на графике я определил примерную стоимость ПОЛИ к концу августа нынешнего года и не отталкиваясь от статистов Т,хотя они от счастья правы. Ну кароче акция будет стоить примерно от 750-830р ! Как-то так! Ну а проверить мы это сможем только в конце августа!",7:48,2023-01-11,POLY
