login,post,posts_time,posts_dt,ticker
lokowerwer99,•$ROSN,21:04,2023-01-11,ROSN
bulls00,"$ROSN на Пхукете в аэропорту не возможно поменять рубли на бат. В городе курс где меняют 0,32-0,33. Жесть вот рубль укрепился🤦‍♂️",17:51,2023-01-11,ROSN
Qualified,"$ROSN дивгэп отыгран, дальше вверх или вниз?!)",17:49,2023-01-11,ROSN
ALEXSGOLD,$ROSN да расти уже!!!,17:48,2023-01-11,ROSN
Smolet19,"$ROSN Кто может подсказать, я сейчас продал акции мне дивы начислят или нет?",17:48,2023-01-11,ROSN
13rusl,"•$LSNG 
Обыкновенные акции Ленэнерго подскочили на 40%

Обыкновенные акции Россетей Ленэнерго резко подорожали, достигнув верхней планки (максимально допустимой цены для текущей сессии) в 12,03 руб. На этой отметке рост составляет почти 40%.

Как это обычно бывает в третьем эшелоне, никаких очевидных драйверов столь сильного движения не наблюдается. При этом объем торгов акциями компании (1,44 млрд руб.) является пятым по размеру, уступая лишь традиционным тяжеловесам: Сбербанку, Роснефти, Газпрому, а также Фармсинтезу, бумаги которого сохраняют повышенную волатильность и высокий уровень торговых оборотов. 

•$AFLT 
""Аэрофлот"" до 2025 года получит 63 российских самолета

Объединенная авиастроительная корпорация (ОАК) поставит ""Аэрофлоту"" в ближайшие три года 63 отечественных самолета. Об этом заявил вице-премьер - глава Минпромторга Денис Мантуров на совещании с президентом Владимиром Путиным.

На реализацию программы льготного лизинга воздушных судов в этом году планируется выделить 175 млрд рублей из Фонда национального благосостояния (ФНБ).

•$TRMK 
ТМК перестала включать европейские ""дочки"" в структуру группы

Трубная металлургическая компания (ТМК) с декабря прошлого года перестала включать дочерние предприятия, находящиеся в Европе, в структуру группы, следует из материалов компании.

Чистая прибыль ТМК по МСФО в первом полугодии 2022 года составила 20,412 миллиарда рублей против убытка в 2,882 миллиарда рублей годом ранее, а показатель EBITDA вырос в 2,3 раза по сравнению с аналогичным периодом прошлого года — до 52,644 миллиарда рублей.

•$MOEX 
Индекс МосБиржи во второй половине сессии торгуется чуть выше достигнутых утром уровней. Среди голубых фишек в лидерах — акции Сбербанка, в аутсайдерах — бумаги Роснефти, которые сегодня очистились от дивидендов.

На валютном рынке рубль укрепился на комментариях Минфина о том, что в рамках исполнения бюджетного правила с 13 января начнется продажа иностранной валюты. 

•$LIFE 
Корректируются после ралли бумаги Фармсинтеза. 

Накануне по акциям оборот был настолько значительный, что, вероятно, в бумагах все-таки происходят какие-то важные корпоративные события. Но новостей нет. При текущей ситуации на рынке высокие обороты еще не говорят о том, что движение фундаментально оправданно. 

Можно вспомнить некоторые сессии в акциях ОР Групп, объем торгов по которым был сопоставим со всей капитализацией компании. В третьем эшелоне сейчас слишком много спекуляций. И по акциям того же Фармсинтеза, как мы отмечали, риски снижения выглядели высокими.

•$ROSN 
Около 5,5% в минус ушли акции Роснефти. Сегодня бумаги компании очистились от дивидендов. Акционерам было начислено 20,39 руб. на акцию. Доходность 5,5%. 


💼Зарубежные компании:

•$TSLA 
Компания Tesla (TSLA) подала заявку регуляторам штата Техас на значительное расширение гигафабрики в Остине, штат Техас. 

План включает инвестиции в строительство дополнительных 1,4 млн. квадратных футов производственных мощностей стоимостью $717 млн. Ожидается, что работа может быть завершена к февралю 2024 г. Общая площадь — 5,6 млн. квадратных футов.

Гигафабрику в Остине планировалось использовать для производства пикапов Cybertruck. Старт массового производства ожидался в середине 2023 г. Для инвесторов новость может быть сигналом о задержке. Хотя есть вероятность, что от компании стоит ждать обновленных планов и причина расширения может быть связана с реализацией других целей.

❌Не ИИР

👉В рамках стратегии &Абсолютная величина  я переодически делаю ребалансировку портфеля, где мы удерживаем позиции от недели до месяца, в редких случаях и более. 
Вход в стратегию всегда актуален.
Добро пожаловать!

👉В рамках стратегии &Грош цена. На пенсию внукам мы удерживаем позиции более длительный период времени. Подходит для консервативных инвесторов. 
Добро пожаловать! 

👉 &Потенциальный отскок новая стратегия, закуп будет осуществлён 12.01.2023. Самая интересная стратегия, ""ловля падающих ножей"". Рискнем? 

#прояви_себя_в_пульсе
#псвп",17:46,2023-01-11,ROSN
Proinvestirovanie,$ROSN продал утром. Был приемлемый дивгеп. Меньше дивов. Перед дивами был сильный рост. Должна падать.,17:41,2023-01-11,ROSN
VASILEV.INVEST,"🔔НОВОСТИ на 11.01.2023🔔

📌Meta (признана в России экстремистской организацией и запрещена). $META
• Пользователи социальной сети Instagram (запрещена в РФ как экстремистская) из ряда стран жалуются на сбои в ее работе, свидетельствуют данные сайта Downdetector, который отслеживает сбои и отключения популярных интернет-ресурсов.
• Instagram принадлежит компании Meta (признана в России экстремистской организацией и запрещена), которой также принадлежат сервисы Messenger, WhatsApp и Facebook.


📌Магнит. $MGNT
• Магнит планирует создать новую сеть дискаунтеров.
• Активное развитие дискаунтеров в РФ отраслевые аналитики назвали одной из главных примет ушедшего года, так как тренд на экономное потребление лишь усилился даже по сравнению с предыдущими, осложненными пандемией годами.


📌ВТБ. $VTBR
• По оценке ВТБ, в 2022 году российские банки выдали более 4,8 триллиона рублей по ипотечным кредитам. Это второй результат в истории рынка, за исключением 2021 года, когда объем продаж достиг 5,7 триллиона рублей.


📌Sinopec. $338
• Крупный китайский производитель Sinopec 11 января увеличил внутренние ценовые предложения фенола в Восточном Китае.
• Компания увеличила свои ценовые предложения фенола на CNY100 за тонну до CNY7 500 за тонну.
• Фенол является основным сырьевым компонентом для производства бисфенола А (БФА), который, в свою очередь, используется для производства поликарбоната (ПК).


📌Роснефть. $ROSN
• Международный трейдер Trafigura (TRAFGF.UL) продает свою долю в индийской Nayara Energy компании Hara Capital.
• Trafigura Group Pte Ltd владела 24,5% в индийской нефтеперерабатывающей Nayara Energy Limited, одним из крупнейших акционеров которой является российская Роснефть с долей около 49%.


📌Татнефть. $TATN
• ""Татнефть"" с 1 января повысила зарплаты сотрудникам выше плана, на 12%.
• В компании напомнили, что в прошлом году индексация зарплат в среднем по ""Татнефти"" составила 10%.


📌Аэрофлот. $AFLT
• Россия в 2023 году может выделить из Фонда национального благосостояния 175 миллиардов рублей на поддержку лизинга российских самолетов для государственного авиаперевозчика Аэрофлот.


📌ТМК. $TRMK
• Трубная металлургическая компания (ТМК) с декабря прошлого года перестала включать дочерние предприятия, находящиеся в Европе, в структуру группы.


📌Транснефть. $TRNFP
• Отгрузки нефти сортов Urals и KEBCO через балтийские порты РФ 1-20 января вырастут на 50% к аналогичному периоду декабря.
• Отгрузки нефти сортов Urals, KEBCO и Siberian Light из Новороссийска в январе запланированы в объеме 2,18 миллиона тонн против 2,24 миллиона тонн в графике декабря.


📌Россети. $RSTI
• Совет директоров ""Россетей"" 13 января обсудит проведение внеочередного собрания акционеров.
• ""Федеральная сетевая компания – Россети"" также становится головной компанией группы компаний ""Россети"". На баланс объединенной компании переведены акции других компаний группы ""Россети"", включая 16 ключевых распределительных сетевых организаций России.


📌Мосбиржa. $MOEX
• Российский рынок акций в ходе торгов среды уверенно растет на 0,77% по индексу Мосбиржи, на фоне внутреннего позитива, а РТС - при поддержке крепкого рубля.


📌Доллар. $USDRUB
• Официальный курс доллара к рублю, установленный ЦБ РФ на 12 января, - 69,0202 руб ( -58,92 коп. ).


📌VK. $VKCO
• VK в 2023 году планирует вложить около 300 млн руб. в российские студии видеоигр и запустить в университетах образовательные программы для подготовки профильных кадров. 


https://www.tinkoff.ru/sl/QRH3SPB22J
Выгодные предложения от Тинькофф с БОНУСОМ для Вас и для меня.



🔔Подписывайтесь, чтобы не пропустить свежие новости🔔
Успешной торговли!💸
___________________
Источник : ""Прайм"", ""REUTERS"", ""kommersant"".
#новости
#новичкам",17:37,2023-01-11,ROSN
Blackman13,"$ROSN
Во всех сми сейчас трещат о том, что Мишустин дал указание на покупку акций российских компаний на триллионы... Это так, или это всё досужие домыслы? 
Вроде бы хотят за счёт бюджета ФНБ увеличить долю государства во многих компаниях. Типа ""обратная приватизация"" ??? Подскажите, кто в курсе?",17:26,2023-01-11,ROSN
19Nastasiya95,$ROSN когда же ты теперь придёшь к цене хотя бы на 10 января?,17:24,2023-01-11,ROSN
