login,post,posts_time,posts_dt,ticker
Tigr_666999,$RUAL откуда такие обьемы?,19:21,2023-01-11,RUAL
Dengy_ne_problema,"$RUAL тоже пошел, 40 пробить надо только тогда на хорошее движение вниз можно рассчитывать, а пока все в пределах волатильности",11:13,2023-01-10,RUAL
zaycevalex,$RUAL,21:12,2023-01-09,RUAL
basebel,"$RUAL $ENPG 
Словакия прощается с производством алюминия

Словацкий производитель Slovalco останавливает последние 10 печей по производству первичного алюминия, об этом сегодня сообщили на предприятии.

По данным компании, возобновление производства со всеми 226 печами будет возможно только в том случае, если правительство увеличит перечисление средств от платежей за квоты на выбросы из экологического фонда, пишет EADaily. Вину за происходящее промышленники возлагают на правительство.

Резкий рост цен на энергоносители, который был спровоцирован поддерживаемыми Братиславой антироссийскими санкциями, привел к тому, что еще в середине 2022 года руководство завода приняло решение закрыть производство первичного алюминия.

Slovalco является алюминиевым заводом в норвежской компании Hydro. Годовая производственная мощность составляет 175 000 тонн первичного алюминия, а мощность литейного цеха — около 250 000 тонн. Ранее в Slovalco заявляли, что власти Словакии не воспользовались программой компенсации издержек энергозатратным отраслям промышленности в рамках европейской Системы торговли выбросами, поэтому компания не получила возможности заключать долгосрочные контракты на покупку электроэнергии.",21:05,2023-01-09,RUAL
kosmos329,"$RUAL забирайте , пока дешево отдаю 😉",21:04,2023-01-09,RUAL
rich_and_happy,"​​Цветные металлы. 
Инвестиции в РУСАЛ и Норникель

Цветные металлы (медь, алюминий, цинк и др) и компании добывающие их интересны в первую очередь по причине мирового перехода на «чистую» энергию. Сейчас из-за энергетического кризиса говорить про ВИЭ (возобновляемые источники энергии) стали существенно меньше. Но сам тренд на переход никуда не делся. Цветные металлы используются из-за своих свойств, малый вес (алюминий), высокая проводимость (медь), устойчивость к коррозии (цинк) и др.

Практически весь 2022 акции Русала $RUAL и Норникеля $GMKN падали в цене, тут и СВО, и крепкий рубль, падение цен на металлы из-за надвигающийся рецессии и конечно же санкции.

Что может вернуть к уверенному росту цены на цветные металлы? 🤔

Тут нам надо посмотреть, что делают крупнейшие экономики мира.
▪️ Во-первых, открытие Китая. Отмена антиковидных ограничений и введение различных стимулирующих мер будет положительно сказываться на спросе на металлы. Ведь китайский рынок наиболее ёмкий с точки зрения потребления цветных металлов, на его долю проходится около половины спроса на медь, алюминий и никель. Этот процесс (отмена антиковидных ограничений) уже во всю идёт.

▪️ Во-вторых, конец цикла повышения ставок ФРС США. В периоды агрессивного повышения ставок компании и обычные потребители сокращают траты (кредиты становятся дороже) → рост экономики замедляется → спрос на цветные металлы падает. Следовательно, обратный процесс (понижение ставок) вызовет рост потребления. Этот процесс пока к ещё не начался, но рынок его закладывает на вторую половину года.

▪️ Есть ещё третий, бонусный для компаний РФ, момент - ослабление рубля $USDRUB . Цены в долларах могут оставаться +/- на том же уровне, но рубль к доллару может (и скорей всего будет) слабеть, т.е. цена на металлы в рублях будут расти.
Учитывая недавние новости Минфина о «О средней цене на нефть марки Urals» в Декабре 2022 в $50,47 за баррель (что в 1,44 раз ниже, чем в декабре 2021 ($72,71 за баррель)). Бюджету за 2023 будет грозить серьёзный недолив рублей при текущем курсе, по этой причине курс будут пытаться ослабить (параллельно пытаясь дисконт на нефть уменьшить).

Подводя итог
В долгосрочной перспективе спрос на цветные металлы выглядит стабильным, а Русал и Норникель интересными для инвестирования. В ближайшее время отдельными постами разберём эти две компании подробней, какие у каждой плюсы и минусы, какая у них мировая доля рынка и многое другое. Не переключайтесь )

P.S. По драгоценным металлам (в основном по золоту) разбирал совсем недавно в постах «Пора инвестировать в акции золотодобывающих компаний РФ?» и «Выбираем золотодобытчиков»

#псвп #русал #норникель 
-
Не является индивидуальной инвестиционной рекомендацией",19:51,2023-01-09,RUAL
krasnoyarskkrasnoyarsk,"$RUAL $RUALалюминии уже на 6% поднялся ,надо взлетать уже.все попёрли мы стоим",19:22,2023-01-09,RUAL
Dengy_ne_problema,"$NLMK нормально так одной свечкой вниз. Стоял стоят
Остались по сути $MAGN и $RUAL будет забавно, если там тоже одной свечкой на % уронят",18:14,2023-01-09,RUAL
Invest_doxod,"😢 Вообще ситуация по дивидендам у металлургов $MAGN, $NLMK, $GMKN, $CHMF, $RUAL печальна. ММК и Нлмк уже показали, что рано говорить о возвращении к выплатам, дивиденды не выплатили. Северсталь до этого сказала - нет. Остаются надежды на Норникель, но они очень туманны. Порадовал лишь Русал, хотя там с учётом долгов у компании странно всё было. 
 Говорить о перспективе выплат в 2023 нельзя, наврятли возобновятся так быстро щедрые дивиденды. За последний месяц вся отрасль здорово выросла, следуя за $USDRUB, но должна пройти коррекция. 
  Среднесрочно запас импульса к росту есть, но надо быть аккуратными, ведь любой негатив сразу станет поводом для активного снижения. 

не иир",17:13,2023-01-09,RUAL
ONLY_TRADING,"🔥 5 акций российских компаний, которые могут быть интересны на среднесрочном горизонте.

🔹 Стоит обратить внимание на акции Сбербанка$SBER . Бумаги сильно скорректировались в 2022 г. из-за отказа от дивидендных выплат, давления санкций. Сейчас основной негатив уже заложен в цену акций. При этом ситуация в банковском секторе не такая страшная, как могло показаться. Уже по итогам октября 2022 г. Сбербанк вышел к прибыли после крупных убытков в I полугодии, заработав за ноябрь 124,7 млрд руб. или 174,8 млрд руб. с начала 2022 г. Важно, что Сбербанк вернулся к публикации финансовой отчетности — это снижает риски для инвесторов. В последние пару недель акции Сбербанка движутся в ползучем растущем тренде. На горизонте нескольких месяцев бумаги могут подняться к 160–170 руб.

🔸 Учитывая локальный растущий тренд в золоте, можно обратить внимание на акции Полиметалла $POLY. Компания пострадала от санкций, проблем в логистике. Также есть риски для инвесторов из-за реорганизации бизнеса. Тем не менее отмеченные факторы уже во многом учтены в динамике котировок. Сильным позитивным драйвером для переоценки должен стать финансовый отчет за II полугодие 2022 г. Компания отмечала, что выстроила новые логистические цепочки, а значит, во II полугодии должен восстановиться свободный денежный поток, снизиться долговая нагрузка. Ближайшим ориентиром в бумаге можно выделить зону 425–430 руб. за акцию. Дальнейший подъем будет зависеть от новостей по реорганизации компании. Позитивные новости, например переезд в дружественную РФ резиденцию, могут стать драйвером для роста в район 500 руб.

🔹 Фундаментально кейс Норникеля $GMKN в последние недели усилился с восстановлением цен на ключевые цветные металлы — котировки драгметаллов поддерживаются ожиданиями более мягкой денежно-кредитной политики ФРС, что усилит промышленный спрос. Для компании также позитивно прошедшее недавно ослабление рубля — девальвация рубля увеличивает рентабельность экспортных поставок, на долю которых в I полугодии 2022 г. приходилось 95% выручки. Акции Норникеля находятся в локальном растущем тренде. 

🔸 На фоне ослабления рубля стоит обратить внимание на акции РУСАЛа $RUAL. Компания выигрывает от девальвации национальной валюты, по итогам I полугодия 2022 г. более 70% выручки формировалось за пределами СНГ. Цены на алюминий отскакивают после обновления локальных минимумов в октябре. Дополнительным драйвером для акций РУСАЛа в среднесрочной перспективе является возвращение компании к выплате дивидендов. По итогам I полугодия 2022 г. были выплачены дивиденды в размере $0,02 на акцию. Дивдоходность на дату отсечки лишь 3,6%, однако важен сам факт, что выросла вероятность выплат в будущем. На горизонте нескольких месяцев при сохранении слабости рубля бумаги могут подняться в район 50–52 руб. за акцию.

🔹 В качестве интересной консервативной фишки с потенциалом роста выделим ГК «Мать и дитя» $MDMG. Основной драйвер роста для компании — постепенное наращивание загрузки недавно открытых госпиталей и клиник. Лишь за счет дозагрузки уже созданных мощностей компания может увеличить выручку почти вдвое в перспективе нескольких лет.  ГК «Мать и дитя» сильно диверсифицировала бизнес в последние годы, компания теперь предоставляет широкий комплекс услуг, что снижает сегментные риски. Влияние санкций на группу минимальное, поставки оборудования и препаратов продолжаются. Компания выплачивает дивиденды, несмотря на зарубежную регистрацию.",16:47,2023-01-09,RUAL
