login,post,posts_time,posts_dt,ticker
karamba78,"$SBER очень советую присмотреться к Сберу. Скоро публикация полного отчёта, там должны быть хорошие цифры. Ожидаю рост акции на этих данных. К 300 не уйдёт, но положительная коррекция на 10-15 процентов точно будет. А может и больше.",20:50,2023-01-08,SBER
Dulovv,"Итоговая таблица прогнозов инвестиционных компаний по лучшим идеям на 2023 год
Топ идеи брокеров
Лучшие 4 компании: $SBER, $LKOH, $NVTK, $MGNT

Из индекса МосБиржи нету: Акрона, Детского Мира, М.Видео, Сургутнфтегаз, Алроса, Пик, ВТБ, Ростелеком, Татнефть, Башнефть, Русгидро, ТГК-1, МКБ, Эн+, Аэрофлот.",2:44,2023-01-08,SBER
Dulovv,"🧐 Мой итог 22 года

✅ $VKCO +12,63% 
Лучшая моя сделка этого года. Меньше месяца и такой результат, очень сильно подстегнуло заниматься этим «делом» дальше
✅ $SBER +3,26%
Прождать после покупки месяц в минусе (опускался по моему до 100) и слить при первой же возможности. Очень сильно научило не верить пвседвблогерам и думать и принимать решения все же своей головой.
✅ $TATN +1,82%
Обратная ситуация чем со сбером, просилел в +10% прибыли и не закрыл позицию.
✅ $NVTK +0,82%
Сходила она у меня и на 12% прибыли, но в итоге слил опять же не вовремя и можно сказать на панике о 2 волне мобилизации. Как бы вот мне не хотелась верить, но 2 волна будет, для меня нет просто никаких сомнений, причем постегнули слухи, а дыма без огня не бывает.
✅ $GMKN +6,14%
Ни что так не глушит, как упущенная выгода, но + на то и есть +. Продал на той де панике про 2 волну мобилизации. Опять же повторюсь, что и дела на фронте хорошо не идут и наступать чем то надо, незнаю точно ли, мобилизация будет в январе, но к апрелю как по мне она уде точно должна быть, там уде и начну подкупать.",2:29,2023-01-08,SBER
Cash4Life,"Я просто оставлю это здесь. Возможно кому-то пригодится.

https://goo.su/2023stock

P.S.
Данная информация не является индивидуальной инвестиционной рекомендацией. Автор максимально новичок в инвестициях. 
Так что не судите строго (а лучше подскажите если где что не так).

#аналитика #атон #сбербанк #втб #бкс #синара #тинькофф #промсвязьбанк #доход #альфабанк
$SBER
$LKOH
$NVTK
$MGNT
$IRAO
$GLTR
$OZON
$PLZL
$MOEX
$RUAL
$POSI
$ROSN",2:12,2023-01-08,SBER
tema957,"$SBER $SBERP (Часть 2)
⏳ Прошлые показатели:
🔴Качественная прибыль: SBER имеет высокий уровень неденежной выручки.
🟢Растущая маржа прибыли: Текущая маржа чистой прибыли SBER (47,6%) выше, чем в прошлом году (41,9%).
🟢Тенденция доходов: за последние 5 лет доходы SBER росли на 10,1% в год.
🟢Ускорение роста: рост доходов SBER за последний год (52,4%) превышает средний показатель за 5 лет (10,1% в год).
🟢Прибыль по сравнению с отраслью: рост прибыли SBER за последний год (52,4%) превысил рост банковской отрасли на 14,6%.
🟢Высокая рентабельность капитала: Рентабельность капитала SBER (20,9%) считается высокой.

⚖️Финансовое состояние:
🟢Уровень активов: Соотношение активов к собственному капиталу SBER (7,3x) низкое.
🟢Резерв по безнадежным кредитам: SBER имеет достаточный резерв по безнадежным кредитам (176%).
🟢Обязательства с низким уровнем риска: 78% обязательств SBER в основном состоят из источников финансирования с низким уровнем риска.
🟢Уровень кредита: SBER имеет соответствующий уровень отношения кредитов к активам (66%).
🟢Депозиты с низким уровнем риска: Соотношение кредитов к депозитам SBER (99%) является приемлемым.
🔴 Уровень безнадежных кредитов: SBER имеет высокий уровень безнадежных кредитов (2,8%).

🧾Дивиденды:
🟢Примечательные дивиденды: дивиденды SBER (14,03%) выше, чем у 25% самых бедных плательщиков дивидендов на российском рынке (4,43%).
🟢Высокие дивиденды: по дивидендам SBER (14,03%) входит в число 25% крупнейших плательщиков дивидендов на российском рынке (13,15%)
🔴 Стабильные дивиденды: выплаты дивидендов SBER были нестабильными в течение последних 10 лет.
🟢Растущие дивиденды. За последние 10 лет дивидендные выплаты SBER выросли.
🟢Покрытие прибыли: благодаря достаточно низкому коэффициенту выплат (34,7%) дивидендные выплаты SBER хорошо покрываются прибылью.
🟢Будущее покрытие дивидендов: прогнозируется, что дивиденды SBER через 3 года будут хорошо покрыты прибылью (коэффициент выплат 48%).

⚙️Руководство:
Средний срок пребывания в должности руководителя - 4,3 года
Исполнительный директор - Герман Греф (58 лет)
Срок пребывания в должности - 17,33 года

Команда руководителей:
1.  Герман Греф - Председатель Правления 14.92 лет
2.  Белла Златкис - заместитель председателя правления и член наблюдательного совета 18.42 лет
3.  Станислав Кузнецов - Заместитель Председателя Правления 14.75 лет
4.  Анатолий Попов - Заместитель Председателя Правления 4.33 года
5.  Александр Ведяхин - Первый заместитель Председателя Правления 4.33 года
6.  Ольга Юрьевна - Заместитель Председателя Правления 2,67 года
7.  Кирилл Царев - Первый заместитель Председателя Правления 1,92 года
8.  Скворцов Тарас - и.о. начальника финансового отдела 0,42 года
9.  Алексей Миненко - старший управляющий директор, заместитель главного бухгалтера
10.  Давид Рафаловски — исполнительный вице-президент, 4,17 года
11.  Анастасия Белянина - Директор по связям с инвесторами
12.  Игорь Кондрашов - Начальник юридического отдела 11.42 лет
🟢Опытный менеджмент: управленческая команда SBER считается опытной (в среднем 4,3 года).
🟢Опытный совет директоров: Совет директоров SBER считается опытным (в среднем 4,3 года).
&RUB AutoInvest",1:38,2023-01-08,SBER
Kos.Mos,"С новым годом и рождеством! 

Подводя год, в первую очередь, хочу спасибо сказать всем кто был рядом и кто присоединился. Год был сложным, но результативным. Листай ниже. (Много было вывода, в связи с семейными обстоятельствами, поэтому столбики скачут). 

Для меня эта маленькая, но победа, важна, и я уверен, что этот год будет лучше! 

Этот год позволил по другому взглянуть на рынок, по другому оценить возможности и изменил подход к рынку в целом. Спасибо,  что это осознание приходит! 

В этом году я запустил автосдедование. Стратегия не простая, но уверен, что выровняемся и пойдем дальше к цели. 

👉 &АРК Инвест (Кэти Вуд)

Так же продолжаю держать и увеличивать портфель #русскийпатриот . Портфель состоит и акций и облигаций РФ.
Лидеры роста $MTSS $SBER $TRMK $ENRU  свыше 20%. Ожидаю дальнейшее движение вверх минимум до 50%. Конечно большая ставка на дивы в этом году. Стратегия по РФ от 3 до 5 лет. 

Сегежа $SGZH  я в тебя верю и жду дивы. Планирую до середины года увеличить позиция до 100 000 акций. В целом жду возвращения к 10₽ и выше 🤞

https://www.tinkoff.ru/invest/social/profile/Segezha_Group_official?utm_source=share

👉 ссылка на портфель https://intelinvest.ru/public-portfolio/494948/ 

Давайте вместе сделаем этот год самым Профитным, самым прибыльным и успешным !!!",21:18,2023-01-07,SBER
MaximVG,"Немного о себе и своих планах. Как и куда буду инвестировать в 2023 году?

Мои первые сделки были в 2000 году, в разное время использовал разные инструменты. Акции, фьючерсы, пифы все в совершенно иногда невообразимых комбинациях. В общем довольно продолжительное время понадобилось, чтобы снять «розовые очки» и мозги встали на место…. 

Публично стал инвестировать с 2020 года, когда девятого марта начал публиковать свои сделки. Покупка портфеля американских акций и выстраивание дивидендной ренты в долларах планировалось на долгие годы, но политика вмешалась в планы и пришлось оперативно вносить изменения. Кстати, решение продать все иностранные ценные бумаги, считаю одним из самых правильных в прошлом году, так как инфраструктурные риски гораздо важнее любых других. Многие до сих пор ждут разблокировки, но за год ожидания уже многое изменилось…

Меня и раньше больше тянуло к диверсификации, при всем понимании, что увеличение инвестиционных инструментов скорее снижают доходность, чем увеличивают. 2022 год все расставил на места и упорядочил. Возможно я никогда не смогу похвастаться, что сделал состояние на одной акции (хотя, очень бы хотелось это сделать на $SBER ). Однако, обладая уже капиталом в 18 млн. - основная задача его сохранить, а не увеличить за несколько лет в два-три раза.

Сохранение нужно тоже правильно понимать. Увеличение стоимости активов минимум на размер инфляции год от года - не такая уж и простая задача, как может показаться. В 2022 году многие уступили не просто инфляции, но и потеряли с трудом заработанное за пять-десять лет. В итоге (я уже не раз слышал такие слова😉) - хранить деньги на вкладе действительно надёжнее….сбережения не упадут в стоимости вполовину, как в прошлом году.
Акции стоимости или роста, насколько важны стабильные дивиденды, да и целесообразно ли сейчас вообще покупать акции? Много ответов и мнений на эти вопросы…

Сам являюсь сторонником мультирыночного портфеля и моя задача проще - просто идти по течению.
Акции + Облигации + Валюта + Товарные рынки - какие активы будут самыми доходными неизвестно, но имея везде позицию, свою долю прибыли не упущу😉.

Когда в мире будет все спокойно?
Стоит вспомнить слова одного австрийского психотерапевта в заключении:
Первыми сломались те, кто верил, что все скоро закончится. Потом те, кто не верил, что это когда-то закончится.
Выжили те, кто сфокусировался на своих делах, без ожиданий того, что еще может случиться. Виктор Франкл.
Нет смысла переживать и обсуждать то, что от нас не зависит. Политика и макроэкономика совершенно неподвластна нам. А вот состояние личных финансов зависит только от нас.

Как инвестировать в 2023 году? Какие активы будут наиболее безопасными и доходными?
В прошлом году (по крайней мере у меня) наиболее доходными были операции с валютой. Купоны по облигациям и дивиденды только добавили немного к общей доходности. Очень хочется курсовой прибыли по акциям и восстановления российского рынка до максимумов 2021 года!!)).

Сейчас распределение долей по классам активов выглядит так  (👇слайд). 

Довольно равномерно начинается год и тем интереснее будет наблюдать, анализировать и действовать при следующих больших расхождениях на рынке(«Прочие»  на картинке - позиция по $GLDRUB_TOM ). Чистую валютную позицию (не в ценных бумагах) держу в юанях $CNYRUB . По валютным облигациям предпочитаю замещённые облигации газпрома ( самая большая позиция в $RU000A105A95). В акциях менее 25% (все российские). Самая большая позиция сейчас в $SBERP .",17:46,2023-01-07,SBER
Zaichenko,"$SBER на сколько вниз полетим, если дивиденды в этом году отменят ((( на 100....75...50 рублей?)))",17:28,2023-01-07,SBER
_SVEET_,"$SBER $SBERP 
Акции банка продолжают лидировать по обороту торгов в праздничные торговые дни, но динамика остается слабой. Бумаги практически всю неделю консолидируются в рамках 142–140,4. Драйверов для более значимых движений пока не прослеживается.
 Сегодня такое направление, вероятно, сохранится. Техническая картина в целом выглядит нейтрально. Цена находится выше EMA50, выступающей сильным уровнем поддержки и для ее преодоления сверху вниз потребуются значительные негативные драйверы. 
 Основной целью покупателей остается подъем выше 142 для дальнейшего теста 142,9–143,6.",16:26,2023-01-07,SBER
GameLife,"Банковский сектор
$TCS $TCSG $SBER $SBERP $VTBR

О том, как быстро меняются заголовки. Новости конца февраля: убытки банковского сектора ожидаются до 6 трл рублей. Новости на конец марта: убытки банковского сектора ожидаются на уровне 3,5-3,8 трл рублей. 

Итоги 2022 года банковский сектор в + на 100 млрд рублей. 

Кто то воспользовался и купил сбер за 0,5 капитала, Тинек по Forward P/E 3.5, а кто то нет... ВТБ мне не нравится). Нужно с большим призрением относится к новостям, так показывает практика.",15:35,2023-01-07,SBER
