login,post,posts_time,posts_dt,ticker
dear_invest,"Выматал бакс $USDRUB $SiH2 $SiH3 $SiH4  под конец года 2022... в начале года Хомячьки залетали в ракету которую как они думают пропустят и бакс улетит на 150 или на 200... Начнем с того что в праздники торгуется только фьючерс без базового актива. Обьемы на фьюче примерно в 2 раза меньше. Смею предположить что на открыти могут устроить торпеду для всех хомячков которые зашли на праздниках. будть я ММ так бы и сделал.
Локально по баксу жду откат к 68 и далее к 65.",19:34,2023-01-08,USDRUB
corder2000,"$USDRUB 🇺🇸 Обилие санкций против других стран и граждан стало мешать собственной банковской системе США.

Огромное количество предписаний, инструкций и ограничений привело к тому, что американские банки отказывают в обслуживании превентивно, без анализа рисков, пишет Bloomberg.

Поэтому минфин США намерен предостеречь банки страны от излишне жёсткого выполнения санкций. Ведомство проведёт ""разъяснительную работу"" с банками, чтобы устранить эту тенденцию.

▪️Сменяющие друг друга администрации США быстро, часто и иногда без особой ясности вводили различные санкции, указывает агентство. При этом Белый дом ожидал, что финансовые учреждения будут соблюдать их самостоятельно. Но банкам, нарушающим санкции, грозят крупные штрафы. Поэтому они боятся и проявляют крайнюю осторожность по отношению ко всему, что может считаться санкционным риском.",2:24,2023-01-08,USDRUB
Poprobyite,"Единственное что сейчас нужно - добить 6 млн. объема и только потом торговать нормальными бумагами, а не российскими пузырями. $USDRUB",1:15,2023-01-08,USDRUB
RusDvd,"Рекомендую к просмотру интервью Максима Орешкина о перспективах экономики РФ. В целом оптимистично, другие тезисы писать не буду, кому интересно посмотрят.

$USDRUB",0:13,2023-01-08,USDRUB
GimnasT,$USDRUB кто знает как обналичить баксы со счета?! Реально это на сегодняшний день?!,23:49,2023-01-07,USDRUB
Fox_Veronika,"$USDRUB $9988 Зашла сейчас в пульс, почитала кто какие прогнозы строит на первый рабочий день после НГ праздников. Я  отсюда убрала все остатки, но у др брокера есть доллары и #9988. В общем, меня они и интересуют в первую очередь. Лично мое мнение: вся сила в долларе, какие бы козни не строило наше правительство в связи текущей глобальной военной проблемой, и как бы ни крутило-вертело курсом. Каждый раз, когда наш рубль  падает вспоминаю роман Ремарка ""Черный обелиск"", почитайте очень рекомендую, как раз про гиперинфляцию и про то, как люди выживали в это время и пытались сохранить свои деньги. Очень жизненно. У меня по прежнему есть опасения, что могут заблокировать валютные и рублевые счета, тем более, что эта тема уже обсуждалась на высоком уровне летом, и мне был сделан звонок и рекомендовано срочно перевести все что возможно в нал. Потом к счастью к этим мерам не стали прибегать, но пока имеет место военная тема такая вероятность по прежнему существует и это напрягает. Поэтому часть финансов в наличном долларе и евро, часть в долларах на брокерск.счете и часть в наличных рублях, и немного в акциях #9988. И хрен его знает, что нас ожидает в этом году, хотелось бы в первую очередь стабильности, но видимо ее не будет. Еще хочется чтоб Алибаба ушла на коррекцию вниз, чтобы еще докупить. Короче, всем светлого будущего😃🤪 Вот всем блестящий собачий нос на удачу😄",23:03,2023-01-07,USDRUB
JimmyGoodman,"$USDRUB Четко и по делу:😏
«Причиной нестабильности российской валюты, является растущее недоверие как отечественных, так и зарубежных инвесторов к способности Банка России действовать оперативно и эффективно, в рамках характерных для российской валюты корреляций с благополучием энергетической отрасли — Россия имеет репутацию валютных кризисов и “Черного вторника”. Часто неадекватные глобальной рыночной динамике ключевые процентные ставки способствуют закрытию разорению банков и предприятий, нередко оказывающихся в условиях некредитоспособности и отрезанных от внешних источников финансирования из-за различных геополитических факторов.
Наиболее очевидная для России экономическая конъюнктура: значительный рост ввиду спроса на энергоресурсы со стороны международных торговых партнеров и, соответственно, спад в виду отсутствия спроса. Каждое новое возобновление тенденции скольжения цен на сырьевые товары ставит Центральный банк в безвыходное положение, дестабилизируя рубль и воспламеняя инфляцию эродирующюю потребительскую и покупательную способность, в частности, ввиду ряда санкций накладываемых время от времени на страну международным сообществом  из-за довольно агрессивной внешней политики.
Глобальный тренд у нашей валюты направлен вниз. А у пары USDRUB  соответственно вверх.
Характеризуется данный глобальный тренд резкими скачками примерно каждые 5-7 дней. Если вспомнить кризисы 1998, 2008, 2014,2022 годов, то в целом появляется мнение, что страна постоянно в кризисе, и она из него не выходит. Перейдём к техническим аспектам валюты.
Валютная пара USDRUB не для новичков. Волатильность составляет около 30 копеек в день, но при условии, что мы берем обширный отрезок времени. В дни повышенной активности, когда экономику штормит, валюта может прыгать на несколько рублей вверх и вниз, что соответствует нескольким сотням пунктов.
Наиболее волатильными днями являются понедельник и пятница.
Обратите внимание на то, что ценовые разрывы после закрытия и, соответственно, после открытия рынка не закрываются, как на других парах. Точнее они закрываются, но далеко не всегда. Поэтому если вы увидели ГЭП, то торговать в обратную сторону и рассчитывать на его закрытие не стоит. На данной валютной паре эта стратегия не работает.
Пара постоянно выбрасывает не слишком опытных торговцев, а затем продолжает своё движение в другом направлении
В целом, обращайте внимание на круглые уровни, потому что они являются таковыми не только для спекулянтов, но и для простого народа и экономики страны в целом. На данной валютной паре круглые уровни играют даже большую роль, чем на остальных парах.
В первые два часа часто происходят обманные движения.
Текущий тренд в пятничных торгах обычно поддерживается в первые часы торговли понедельника...»",22:45,2023-01-07,USDRUB
arturrrio,"$USDRUB пробиваем и
На 76-80 )",22:37,2023-01-07,USDRUB
AleshaTop1,"Все смеялись надо мной когда я покупал $KZTRUB_TOM на последние деньги. Прошло 6 месяцев и у меня прирост +30%. Вы скажете, мол покупай $USDRUB или $EURRUB Но как показывает практика шанс того, что приостановят торги данной валютой очень высок. Поэтому я вливаю всю котлету в $KZTRUB_TOM $BYNRUB_TOM и $AMDRUB_TOM Скоро это будут единственные валюты доступные для торгов. Как три всадника апокалипсиса.",22:34,2023-01-07,USDRUB
AlexandrZaytsev,"Привет, Пульс!

Решил подвести итоги 2022 года, поделиться опытом допущенных ошибок и принятых решений.

Ошибка №1: маленькая подушка безопасности. Очень непростой год хорошо продемонстрировал, что формирование пассивного инвестиционного портфеля должно начинаться с формирования подушки безопасности. На мой взгляд она должна быть мультивалютной и храниться частично в кеше и частично на банковских счетах с быстрым доступом (не на срочных вкладах). Минимальный размер подушки безопасности: 6 месячных бюджетов семьи. Я несколько пренебрёг этими правилами. Моя подушка была в рублях, вся сумма лежала на банковских счетах (ничего не было в кеше) и размер подушки был несколько ниже оптимального. Обстоятельства сложились так, что эта ошибка стоила мне не очень дорого в финансовом выражении, но стоила мне дополнительных нервов. Купил немного наличных долларов $USDRUB в несамый удачный момент (по 106 руб.) и прервал покупки ценных бумаг на время формирования достаточного финансового резерва.

Ошибка №2: небезопасные облигации. В доле портфеля отведённой под защитные активы заметную часть составляли облигации $XS0810596832 Я уже достаточно давно осознал эту ошибку, но близкий колл-опцион 06.12.2022 усыпил мою осторожность и жадность взяла верх, решил додержать эту бумагу. С высокой долей вероятности, эта ошибка будет стоить мне полной или значительной потери этой части капитала. Эта ситуация отлично демонстрирует, как важна диверсификация, в том числе при инвестициях в облигации. А так же то, что защитные активы нужно выбирать вдумчиво, иначе их защитные качества могут оказаться бутафорией.

В рамках инвестирования в рынок акций, вынужденно перешел на покупку акциций исключительно российских компаний, через $SBMX Акции иностранных компаний утратили для меня свою привлекательность ввиду отсутствия возможности покупать их через фонды. Некоторое время я раздумывал над вариантом покупки отдельных компаний, но необходимость конвертировать рубли в доллары на очень невыгодных условиях и потенциально плохая диверсификация окончательно отпугнули меня от этой идеи.

В целом, год прошёл для меня неплохо, да доходность отрицательная, но это нормально и даже хорошо, учитывая то, что я нахожусь в начале своего инвестиционного пути.
Жаль, что стратегию глобального равномерного инвестирования пришлось временно свернуть.

А какие ошибки были у вас в 2022 году?",21:33,2023-01-07,USDRUB
