login,post,posts_time,posts_dt,ticker
PolarFox711,"$VTBR по 0,01 может быть и куплю, но лучше по 0,00725 👍",20:56,2023-01-11,VTBR
Mr_Vovan77,$VTBR Буду ждать 0.2 💥,14:16,2023-01-11,VTBR
Xomiak001,$VTBR типо ложный пробой?,14:09,2023-01-11,VTBR
pozhivem_uvidim,$VTBR беру на все,13:42,2023-01-11,VTBR
RealRasul,"$VTBR
Откуда рост?",13:13,2023-01-11,VTBR
Yverenno,"Всём салют!) как прошли праздники? Всё живы? 😂
Давненько ничего не писал) решил написать интересные новости) всем отличного и продуктивного дня 💪
 Итак :
⚡️Банк России возобновит c 13 января 2023 года проведение операций по покупке (продаже) иностранной валюты на внутреннем валютном рынке в рамках реализации Минфином России механизма бюджетного правила.

Операции будут проводиться в инструменте $CNYRUB  «китайский юань — рубль» со сроком расчетов «завтра».

⚡️В 2022 году российские банки выдали на ипотеку более ₽4,8 трлн. Это второй результат в истории рынка, за исключением 2021 года, когда сумма достигла ₽5,7 трлн, — СМИ
$SBER 
В 2023 году при благоприятной макроэкономической ситуации банки смогут показать сопоставимый с прошлым годом результат, прогнозируют эксперты $VTBR  .

$LKOH ну что? Когда 4500? 😅

Кто какие облигации покупал или собирается покупать? Хочу вложить в облигации на очень долгий срок, что посоветуете? 
#пульс 

Не ИИР.",12:45,2023-01-11,VTBR
www210a,"$VTBR ⚡️В 2022 году российские банки выдали на ипотеку более ₽4,8 трлн. Это второй результат в истории рынка, за исключением 2021 года, когда сумма достигла ₽5,7 трлн, — СМИ

В 2023 году при благоприятной макроэкономической ситуации банки смогут показать сопоставимый с прошлым годом результат, прогнозируют эксперты ВТБ.",12:41,2023-01-11,VTBR
Palych,"С этого года хочу начать вести пульс, чтобы отслеживать изменения в своем портфеле и получать советы других пульсян, но любые решения в любом случае принимаю я. Хочу начать с небольшой предыстории, в 2022 году я пришел официально на фондовый рынок со своим счетом, потому что до этого 2 года торговал на счете моего брата, поэтому статистики у меня за этот период нет нет, но самый первый опыт и ошибки я усвоил именно там. Мне повезло зайти на рынок в конце марта, когда российский фондовый рынок достиг своего минимума за последние несколько лет, и тогда я начал формировать свой портфель. На данный момент он забит активами на 80%, но я буду перебирать свой портфель. Моя цель по окончании учебы в институте вступить в команду #Тинькоффинвестиции именно поэтому я и начинаю вести этот блог.
А теперь к моему портфелю:
14 акций в портфеле акции $TCSG
13 акций в портфеле акции $TCS
410 000 акций в портфеле $VTBR
800 акций в портфеле $IRAO
11 акций в портфеле $NVTK
1 акция в портфеле $GMKN
6 акций в портфеле $ROSN
40 акций в портфеле $RTKM
3 акции в портфеле $OZON
1 акция $MGNT

 Ну и немного фондов: 
7994 лота $LQDT
25 лотов $TRUR

Все остальное в валюте ~ 20% от портфеля

В ближайшее время активы в портфеле будут пересмотрены, часть продана, и часть докуплена, чтобы диверсифецировать портфель",12:36,2023-01-11,VTBR
DobichaDeneg,"🇷🇺По оценке 🔺ВТБ, в 2022 году российские банки выдали на ипотеку более 4,8 трлн рублей. Это второй результат в истории рынка, за исключением 2021 года, когда сумма достигла 5,7 трлн рублей, говорится в сообщении банка.

🔺В 2023 году при благоприятной макроэкономической ситуации банки смогут показать сопоставимый с прошлым годом результат, прогнозируют эксперты ВТБ. Основным фактором, который сохранит высокий спрос на жилищные кредиты, станет модернизация программ господдержки.

💸Не забудь подписаться💸

#втб #vtb #новости #банк #добычаденег #пульс_оцени #прояви_себя_в_пульсе
$VTBR",12:35,2023-01-11,VTBR
Elzar777,$VTBR ну что когда вниз?,11:57,2023-01-11,VTBR
